"","V1"
"1",3
"2",2
"3",2
"4",2
"5",5
"6",5
"7",2
"8",3
"9",2
"10",5
"11",3
"12",3
"13",3
"14",3
"15",2
"16",3
"17",5
"18",2
"19",3
"20",3
"21",5
"22",3
"23",3
"24",3
"25",2
"26",3
"27",3
"28",2
"29",2
"30",3
"31",2
"32",3
"33",3
"34",2
"35",2
"36",3
"37",2
"38",2
"39",2
"40",3
"41",2
"42",2
"43",2
"44",3
"45",2
"46",3
"47",5
"48",2
"49",2
"50",2
"51",3
"52",5
"53",2
"54",2
"55",2
"56",4
"57",2
"58",3
"59",3
"60",3
"61",3
"62",2
"63",3
"64",2
"65",2
"66",2
"67",2
"68",3
"69",3
"70",3
"71",2
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",2
"79",3
"80",3
"81",3
"82",3
"83",2
"84",2
"85",2
"86",3
"87",3
"88",3
"89",3
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",3
"97",2
"98",2
"99",3
"100",5
"101",1
"102",1
"103",4
"104",4
"105",1
"106",1
"107",4
"108",4
"109",1
"110",1
"111",2
"112",1
"113",1
"114",4
"115",1
"116",1
"117",4
"118",1
"119",4
"120",1
"121",3
"122",4
"123",1
"124",4
"125",4
"126",4
"127",4
"128",4
"129",1
"130",4
"131",4
"132",1
"133",1
"134",1
"135",4
"136",4
"137",4
"138",4
"139",4
"140",1
"141",1
"142",1
"143",4
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",2
"157",1
"158",2
"159",1
"160",4
"161",5
"162",4
"163",4
"164",1
"165",1
"166",4
"167",4
"168",4
"169",5
"170",3
"171",1
"172",4
"173",2
"174",1
"175",4
"176",4
"177",4
"178",4
"179",4
"180",4
"181",4
"182",4
"183",2
"184",4
"185",2
"186",4
"187",1
"188",4
"189",1
"190",3
"191",3
"192",1
"193",5
"194",3
"195",4
"196",1
"197",5
"198",3
"199",1
"200",4
"201",5
"202",3
"203",5
"204",5
"205",5
"206",5
"207",5
"208",5
"209",2
"210",5
"211",5
"212",5
"213",2
"214",5
"215",5
"216",5
"217",5
"218",5
"219",5
"220",5
"221",5
"222",5
"223",2
"224",2
"225",3
"226",5
"227",5
"228",5
"229",5
"230",5
"231",2
"232",3
"233",3
"234",3
"235",5
"236",5
"237",5
"238",2
"239",2
"240",2
"241",2
"242",5
"243",5
"244",2
"245",2
"246",5
"247",5
"248",2
"249",3
"250",5
"251",2
"252",3
"253",5
"254",5
"255",5
"256",2
"257",3
"258",3
"259",5
"260",5
"261",5
"262",5
"263",5
"264",5
"265",5
"266",5
"267",5
"268",5
"269",5
"270",5
"271",5
"272",5
"273",5
"274",5
"275",5
"276",5
"277",3
"278",3
"279",5
"280",3
"281",5
"282",5
"283",5
"284",2
"285",2
"286",3
"287",5
"288",5
"289",5
"290",2
"291",2
"292",5
"293",3
"294",2
"295",2
"296",5
"297",5
"298",5
"299",5
"300",5
