Raw Date,Day,Month,Year,Beta 0,Beta 1,Beta 2,Beta 3,Tau 1,Tau 2,Ext_Error
41022.0,23,4,2012,11.407,-3.1263,-3.0448,-6.7823,2.2158,12.176,0
42117.0,23,4,2015,7.72791822928987,-0.0483070559888458,0.525874999398747,-0.57033482484262,0.0686561130607744,1.0,0
42846.0,21,4,2017,7.6273770176354,-1.602327443639,-0.666161858583125,-0.219958679849926,1.566406429512,1.55343700395145,0
43213.0,23,4,2018,7.88739657401272,-1.93956114348431,1.57211905389946,1.41288692888853,3.75868670916667,2.18468424017401,0
43608.0,23,5,2019,7.6393,-1.4296,-16.0148,16.3275,3.1472,3.3548,0
40319.0,21,5,2010,8.5052,-4.8504,0.22828,1.7731,2.1306,1.2367,0
40686.0,23,5,2011,8.7562,-1.476,3.8421e-05,-2.5767,0.090514,1.5336,0
41052.0,23,5,2012,9.8808,-1.469,-2.3612,-3.3631,1.1969,5.8057,0
40947.0,8,2,2012,8.8907,-0.12952,-1.5558,-1.1478,3.0917,2.8007,0
42041.0,6,2,2015,7.61862443527372,0.359133378537451,0.994136903377594,-0.634144482650871,0.277410600552258,1.0,0
42408.0,8,2,2016,8.3037790769553,-1.18233539831703,-0.921386953337376,-0.622404750500253,1.37642925203696,1.37456920401798,0
42774.0,8,2,2017,7.35345374519104,-1.23441385936502,-0.794898841183339,-0.843203045551854,1.16207003590234,1.16217022073964,0
43139.0,8,2,2018,7.84318189029081,-1.83444947096385,2.87740427523492,-0.506402078111336,4.46177145116462,3.88256441047246,0
40245.0,8,3,2010,8.8251,-5.7378,0.0011972,-4.3311,0.42223,1.0,0
40610.0,8,3,2011,8.6258,-2.8462,-1.3401,-3.8648,0.084043,1.274,0
40975.0,7,3,2012,9.9287,-0.82472,-2.9575,-4.711,0.98507,6.5043,0
42068.0,5,3,2015,7.57770320709884,0.315295878597283,1.41609869441253,-0.280977639198502,0.202089655352529,1.00005517996189,0
42437.0,8,3,2016,8.41712495313837,-1.41115273369133,-0.530260703280876,-0.901210927464945,1.32618742258342,3.6740011330518,0
42802.0,8,3,2017,7.61991441298449,-1.8809192390313,-8.96790510454811,8.81806527447278,1.77256435618466,1.86363589931747,0
43167.0,8,3,2018,7.72208464974362,-1.71342752438051,2.09778190107198,1.24149682114459,5.15288643251967,5.15219350676653,0
43563.0,8,4,2019,9.8666,-3.6172,-16.7644,15.9959,19.9788,14.3889,0
40276.0,8,4,2010,8.8664,-6.1417,0.016201,-6.4489,0.3501,1.0,0
41003.0,4,4,2012,12.572,-3.8392,-5.955,-10.0,1.5528,12.566,0
41372.0,8,4,2013,8.3208,-0.45867,-1.2514,-1.3105,0.7648,2.6824,0
41736.0,7,4,2014,9.4407018633664,-0.511942314892345,-2.61077515491522,-2.90757665059601,0.0363399027253654,1.0,0
42102.0,8,4,2015,7.69369128119858,0.0870627017212764,-0.703860745444827,0.391141156295724,1.083777838177,2.19294052339766,0
43196.0,6,4,2018,7.44576178915001,-1.54696297554838,1.57341626781693,0.506437219114372,4.14401310665398,4.07787086924853,0
43593.0,8,5,2019,7.667,-1.3677,-17.2004,19.0872,6.7783,6.732,0
40669.0,6,5,2011,8.7306,-1.4293,0.0011352,-2.6298,0.17888,1.6211,0
41037.0,8,5,2012,9.7573,-1.3447,-2.4501,-3.2078,0.88305,4.7953,0
