"Date","beta_0","beta_1","beta_2","beta_3","tau1","tau2"
"31/08/09",6.80153032516432,-4.30101156930034,0.0429286447213763,5.95227825651264,0.559146147447887,16.7291076047995
"29/09/09",-3.59539696368888,5.8848841042075,15.0585377193301,37.5979615901995,1.67444066149166,16.7291076047995
"30/10/09",-1.78474853414612,4.00153697119735,13.7376114878648,32.172046457275,1.67444066149166,16.7291076047995
"30/11/09",12.5849214612532,-9.64578833104146,-0.0632344287189806,-11.6894674830165,1.67444066149166,8.36456092905006
"31/12/09",5.16484309400101,-2.41716145010716,5.15912335579816,11.5891554448745,1.11679337614944,16.7291076047995
"29/01/10",6.97543549925489,-4.59674208666031,0.0970517085946726,5.70468677268051,0.559146147447887,16.7291076047995
"26/02/10",7.35036749872626,-4.11532761042748,-0.972550403023458,4.5787727156283,0.559146147447887,15.8926535906799
"31/03/10",6.84006534447004,-4.25568839928362,1.02967166039042,5.62646244686266,0.559146147447887,15.0561911371932
"30/04/10",8.21759563545636,-5.3845666423275,0.915424167026043,1.47150039781883,1.11679337614944,15.0561911371932
"31/05/10",9.5423840953079,-4.70006114628719,-4.30949724236174,-3.06394204238692,1.11679337614944,16.7291076047995
"30/06/10",9.0946598285479,-4.07903163682605,-3.32158068156203,-1.54393065569299,1.11679337614944,15.0561911371932
"30/07/10",8.54148022251917,-3.34395919738827,0.324569348498512,0.0661881815939476,1.67444066149166,16.7291076047995
"31/08/10",8.70191179220943,-2.95524904496261,-1.28304212338291,-0.540041460619203,1.11679337614944,15.0561911371932
"29/09/10",7.75081996396569,-2.07541987765723,0.339441809689045,2.08491863574753,1.11679337614944,14.2197356938953
"29/10/10",8.5209897978348,-2.21234271653561,-0.068760745183969,0.184517837935774,1.67444066149166,16.7291076047995
"30/11/10",7.23321581701241,-0.743549824972148,1.04956610281857,4.03726056783331,1.11679337614944,16.7291076047995
"31/12/10",6.46170439760688,0.0152205969336735,2.07667279542532,6.43235662876347,1.11679337614944,16.7291076047995
"31/01/11",7.25698958775569,-40.8901703579814,59.6753997413049,4.37979632620285,0.00153136983737983,15.8926535906799
"28/02/11",6.92091458160084,-215.083031354654,332.048737516611,5.33975752346554,0.00153136983737983,14.2197356938953
"31/03/11",6.86450799544775,-0.136493298906945,1.62975826688657,5.07084465402735,0.559146147447887,15.0561911371932
"29/04/11",7.0112578660823,0.0707350729949989,2.39834692667771,4.80966724810093,0.559146147447887,15.0561911371932
"31/05/11",7.56270042723971,-347.024861050232,541.145220612003,3.42896150587422,0.00153136983737983,14.2197356938953
"30/06/11",7.67228553287041,-272.215593249789,424.746064572537,2.96279259552245,0.00153136983737983,16.7291076047995
"29/07/11",8.78993120118004,-0.56274624159633,-0.884442711447277,0.0843302576161989,3.34734964018025,8.36456092905006
"30/08/11",7.51311622506249,0.597415889804499,1.02526257698761,3.38459553137883,0.559146147447887,16.7291076047995
"29/09/11",8.73405863855334,-0.495307181888378,-1.2315778851397,0.103728371665597,2.78969924533895,8.36456092905006
"31/10/11",8.98204231496552,-0.412995731991151,-0.772100213800941,-0.436946522107344,1.11679337614944,14.2197356938953
"30/11/11",9.75175639726186,-1.05655820021287,-1.74739190773476,-1.62623683185671,2.23208110406819,8.36456092905006
"30/12/11",7.78478252209169,-221.014482756201,348.187772833304,3.33227347625713,0.00153136983737983,16.7291076047995
"31/01/12",6.92463242905551,1.58736279930859,1.88700396041046,5.44039792756243,0.559146147447887,16.7291076047995
"29/02/12",6.9669424844643,1.89636485022904,-10.1333208826263,12.536897111524,7.80842553327363,12.5468177149969
"30/03/12",11.0868121669282,-2.18876238571908,-4.93686226580824,-7.1257442943388,1.11679337614944,10.8739351182997
"30/04/12",10.1509318249502,-1.74321398984481,-3.45734484515677,-3.63391036082192,1.11679337614944,8.36456092905006
"31/05/12",10.5299245447959,-2.25567067245128,-2.97908313965759,-4.78872180748376,1.67444066149166,9.20101986832082
"29/06/12",10.6739111323869,-2.3706679967332,-3.68814095395384,-5.39105304382,1.67444066149166,10.0374636557304
"31/07/12",10.2001361455205,-2.07760630378902,-2.59347057882662,-4.36512486300662,1.67444066149166,8.36456092905006
"31/08/12",10.1437247754322,-1.99342421258731,-2.40107766751778,-4.23577869071856,1.67444066149166,8.36456092905006
"28/09/12",9.84185179796326,-1.79293975369547,-1.98744658809728,-3.81666721219581,1.67444066149166,8.36456092905006
"31/10/12",9.25772313953513,-1.17037211009072,-2.02598360883932,-2.17004107206006,1.67444066149166,10.8739351182997
"30/11/12",9.11244778613694,-1.01787673936074,-1.5747586637752,-1.96217592626395,1.67444066149166,8.36456092905006
"31/12/12",9.45777614982325,-1.32126243847515,-2.16666604785588,-3.27418553753214,1.67444066149166,10.8739351182997
"31/01/13",7.78047942742657,0.158403303436113,-0.923298293497653,1.01056041220016,1.11679337614944,16.7291076047995
"28/02/13",8.59061008423493,-0.573350978370636,-1.62951506603303,-1.51822420544932,1.67444066149166,10.0374636557304
"28/03/13",7.42543666505162,-117.462664242811,184.878684869224,2.43309463794515,0.00153136983737983,16.7291076047995
"30/04/13",7.25075292412084,0.298125221395325,-0.720639674417026,2.34245843187247,1.11679337614944,16.7291076047995
"31/05/13",7.68246841413728,-0.359023921219047,-1.21391829683143,-0.610651353687233,1.11679337614944,8.36456092905006
"28/06/13",8.29301254572325,-0.913111579956725,0.396958068902783,-1.33414140304714,6.69316337314877,8.36456092905006
"31/07/13",9.58398738762842,1.35330606937734,-3.67547125398915,-3.11779989645852,1.11679337614944,8.36456092905006
