Date,CCIL_Beta 0,CCIL_Beta 1,CCIL_Beta 2,CCIL_Beta 3,CCIL_Tau 1,CCIL_Tau 2,Est_Beta 0,Est_Beta 1,Est_Beta 2,Est_Beta 3,Est_Tau 1,Est_Tau 2
43465.0,8.0435,-1.5042,0.0001,2.157,20.0,4.9612,7.650391072783617,-1.1078923966192673,-97.74676541337125,98.03621375024744,2.3562385082907547,2.3624914304995617
43830.0,7.187,-2.168,-18.3637,18.1524,1.8112,1.879,7.186881807358421,-2.1678075883085306,-5.776918365091016,5.4760514102717615,1.7378933575527613,1.9596664000713437
40178.0,9.4987,-6.6878,-3.0525,7.8894,3.1501,1.4213,9.534861042442524,-6.720652632428603,-2.469535534435539,-4.5750794063843445,0.5493909975479192,3.351896747112386
41274.0,9.4139,-1.2423,-1.6432,-1.1648,15.0,1.0,8.881073463336795,-0.7127211565946818,-1.7447185730214523,-1.9218794487181654,1.1917362237865714,7.538974099801569
