"Date","beta_0","beta_1","beta_2","lambda"
"31/08/09",8.68240801927304,-5.7125521199634,0.203537574705068,0.716537459580971
"29/09/09",9.20821338739245,-5.72018383334647,-0.100790144468751,0.448000466893468
"30/10/09",9.06601950071149,-6.04028521268837,0.158805019353667,0.597215043536175
"30/11/09",9.06993818317734,-5.6889145376337,-0.184434066029126,0.511959831547153
"31/12/09",8.93049518414237,-5.51680986405005,0.27006408612695,0.597215043536175
"29/01/10",8.74669810866638,-5.97193529579314,-0.46036256092061,0.895409284584778
"26/02/10",8.82421621602326,-5.31110036737571,0.2551381898623,0.716537459580971
"31/03/10",8.60681509294762,-5.57692186330717,0.145334974828744,0.895409284584778
"30/04/10",8.69477963445632,-5.80927399643593,0.142980199475182,0.895409284584778
"31/05/10",8.55212285934192,-3.77524598567967,-3.19234529663003,0.99993395914561
"30/06/10",8.57780647385005,-3.56717841081296,-3.04687577319769,0.99993395914561
"30/07/10",8.56380375193679,-3.36461852073133,0.296629636261258,0.597215043536175
"31/08/10",8.51976381655077,-2.7717436353428,-1.36369116525155,0.99993395914561
"29/09/10",8.44318206106664,-2.69448749016989,-0.142519786999999,0.716537459580971
"29/10/10",8.58322269776681,-2.26993600485094,-0.146642530476573,0.597215043536175
"30/11/10",8.60005387048828,-1.8896294691301,0.0255328104703879,0.398268378440568
"31/12/10",8.72196776240166,-1.85433451868647,0.00387086043059289,0.256074018370629
"31/01/11",8.74414062741669,-1.93875363409653,0.0561585369444464,0.358476436048096
"28/02/11",8.75579781499957,-2.09610865441974,-0.0777073397699369,0.358476436048096
"31/03/11",8.66791761934472,-1.57620472208104,-0.000583149685208304,0.239029502897819
"29/04/11",8.74672412358213,-1.18105401413374,-0.00858618400127039,0.188726257062174
"31/05/11",7.7577227047022,0.0325867538430089,2.80132935139636,0.060784851560543
"30/06/11",8.77227676546659,-0.832135892495111,-0.91172117120469,0.325881238664232
"29/07/11",8.81242764106931,-0.588259855089351,-0.85263252626924,0.298742403004515
"30/08/11",8.76911309900296,-0.557980299211716,-1.23104808713597,0.325881238664232
"29/09/11",8.76338750275086,-0.528545083231559,-1.20136852713954,0.358476436048096
"31/10/11",8.83604527240149,-0.270279895637831,-0.613288491313559,0.99993395914561
"30/11/11",9.40925572652002,-0.754543665226243,-1.81703382893807,0.298742403004515
"30/12/11",8.95308283619262,-0.327432432605223,-2.43726181754878,0.597215043536175
"31/01/12",8.89662300240298,-0.237639880930696,-2.67618677839622,0.398268378440568
"29/02/12",9.40644477699867,-0.533354710131101,-3.47842648892106,0.199213058873377
"30/03/12",8.7449213412922,0.102289434985723,-2.52241875836842,0.99993395914561
"30/04/12",9.19193055329167,-0.976602747710202,-2.0233779880246,0.448000466893468
"31/05/12",9.4381400984204,-1.33787051020356,-2.00401763876188,0.224092021215027
"29/06/12",9.1426716427463,-1.00297348766482,-2.44926410190307,0.325881238664232
"31/07/12",9.44714354953206,-1.49373684443227,-2.04277977690197,0.188726257062174
"31/08/12",9.43973648676337,-1.44357682241251,-1.92187976488374,0.179279188214098
"28/09/12",9.32007498980997,-1.39858800279343,-1.61506706031181,0.14941498426429
"31/10/12",8.55812286283695,-0.496294735440543,-1.50985031959281,0.511959831547153
"30/11/12",8.66928795831909,-0.648888978907659,-1.28811463376819,0.298742403004515
"31/12/12",8.4370124974818,-0.370212259296027,-1.3664746409992,0.398268378440568
"31/01/13",8.12514584826508,-0.187346248708725,-1.35848218531188,0.716537459580971
"28/02/13",8.13936461053851,-0.163194629912533,-1.34683592893218,0.448000466893468
"28/03/13",8.29132945910341,-0.463106399545187,-1.41256629644251,0.511959831547153
"30/04/13",8.08624423541093,-0.568754994553414,-1.55241791673827,0.511959831547153
"31/05/13",7.51179477663104,-0.212915281370739,-1.01837894159345,0.716537459580971
