ID,Location,Age,Gender,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,B8,B9
88,1,24,2,2,6,6,6,3,0,1,1,0,0,0,0,0,1
89,1,16,1,3,4,4,4,4,0,1,0,0,0,0,0,0,0
90,1,41,2,2,1,1,2,6,0,1,0,0,0,0,0,0,1
91,1,18,1,1,6,6,2,6,0,0,0,1,1,0,0,0,0
92,1,18,1,1,4,5,2,5,0,1,1,0,0,0,0,0,1
93,3,22,2,1,4,6,4,5,0,0,0,1,1,0,0,0,0
94,3,34,2,4,3,5,2,4,0,1,1,0,0,0,0,0,1
95,6,23,1,5,6,6,3,6,0,0,0,0,0,0,0,0,0
96,6,44,2,1,6,6,6,6,0,0,0,0,0,0,0,0,0
97,6,31,2,3,4,3,3,4,0,1,1,0,0,0,0,0,1
98,6,21,1,3,5,3,2,5,0,0,1,1,0,0,0,0,0
99,6,17,1,2,5,5,5,5,0,1,1,0,0,0,0,0,1
100,6,40,1,1,6,5,6,5,1,1,1,0,0,0,0,0,1
101,6,22,1,1,3,4,4,4,0,0,0,0,0,0,0,0,0
102,6,21,1,5,5,5,5,5,0,0,0,1,1,0,0,0,1
103,6,37,2,1,5,5,2,5,0,0,0,0,0,0,0,0,0
104,3,24,1,6,6,6,1,4,0,1,1,0,0,0,0,0,1
105,3,20,2,1,6,6,1,4,0,1,0,0,0,0,0,0,1
106,6,28,1,1,4,5,1,4,0,1,0,0,0,0,0,0,1
107,6,32,1,5,3,4,4,5,0,0,0,0,1,0,0,0,1
108,6,20,1,1,6,3,2,4,0,0,0,0,0,0,0,0,0
109,2,21,2,2,3,3,2,4,0,0,0,0,0,0,1,0,1
110,2,28,2,2,5,4,4,3,0,1,1,0,0,0,0,0,1
111,2,20,1,3,6,5,4,5,0,0,0,1,1,0,0,0,0
112,2,43,2,2,4,4,3,3,0,0,1,0,0,0,0,0,0
113,2,40,2,1,5,4,5,3,0,1,1,0,0,1,0,0,1
114,2,23,2,1,6,3,2,4,0,1,0,0,0,0,0,0,0
115,2,18,2,2,6,5,2,5,0,0,1,1,0,0,0,0,1
116,2,45,1,2,6,5,2,4,0,0,1,0,1,0,0,0,1
117,2,23,2,2,6,6,4,6,0,0,0,1,0,0,0,0,0
118,2,23,2,1,6,6,6,6,0,0,0,1,1,0,0,0,0
119,2,23,1,1,3,4,5,4,0,0,0,0,1,0,0,0,0
120,2,30,2,3,6,6,4,5,0,0,0,1,1,0,0,0,0
121,1,36,1,1,6,5,6,6,0,0,0,0,0,0,0,0,0
122,1,42,1,6,6,6,6,6,0,0,0,0,0,0,0,0,0
123,1,42,1,1,5,6,1,5,0,1,0,0,0,0,0,0,1
124,1,25,2,1,6,6,6,5,1,1,0,0,0,1,0,0,1
125,2,40,2,3,4,3,4,5,0,1,0,0,0,0,0,0,1
126,2,36,1,1,6,6,6,6,0,0,0,0,0,1,0,0,0
127,2,18,2,6,6,6,4,6,0,0,0,0,1,0,0,0,0
128,2,18,1,3,6,6,4,6,0,0,0,1,0,0,0,0,0
129,2,20,1,1,4,4,2,4,0,1,0,0,0,0,0,0,1
130,2,35,2,1,6,6,1,6,0,0,0,0,0,0,0,0,0
131,5,19,2,3,3,1,3,5,0,0,0,0,0,0,0,0,0
132,5,23,1,2,4,4,2,3,0,0,0,0,0,0,0,0,0
133,5,21,2,1,1,6,1,6,0,1,1,0,0,0,0,0,1
134,5,17,2,3,6,4,5,4,0,1,1,0,0,0,0,0,0
135,5,35,1,1,6,6,3,5,0,1,0,0,0,0,0,0,0
136,1,16,1,2,4,4,4,4,0,0,0,0,0,1,0,0,1
137,1,40,2,3,4,4,6,2,0,0,0,0,0,1,0,0,0
138,1,35,2,2,6,6,2,6,0,0,0,1,1,0,0,0,1
139,1,34,2,3,6,1,6,4,0,0,0,1,1,0,0,0,0
140,1,30,2,3,4,4,3,4,0,0,0,0,0,0,0,0,0
141,1,21,1,1,6,6,4,5,0,1,0,1,0,0,0,0,0
142,1,18,1,2,4,5,5,5,0,0,0,1,1,1,0,0,0
143,1,21,2,2,5,5,5,4,0,0,1,0,0,1,0,0,1
144,1,40,2,2,2,5,4,5,0,0,1,0,0,0,0,0,1
145,1,24,1,2,6,6,3,6,0,0,0,1,0,1,0,0,0
146,1,44,2,1,5,4,5,6,0,0,1,0,0,0,0,0,1
147,1,25,2,1,6,6,2,6,0,1,0,0,0,0,0,0,1
148,1,30,1,3,6,6,1,6,0,0,0,1,1,0,0,0,1
149,1,27,2,4,4,4,3,3,0,0,0,0,0,0,0,0,1
150,1,21,1,2,6,6,4,5,0,0,0,1,1,0,0,0,1
151,1,28,1,1,6,6,6,6,0,0,0,0,1,0,0,0,1
152,1,23,1,1,6,6,6,5,0,0,0,1,1,0,0,0,0
153,1,29,1,5,4,2,4,5,0,0,0,0,0,0,0,0,1
154,1,22,1,1,6,6,2,4,0,1,0,0,0,1,0,0,0
155,1,32,1,1,4,3,3,5,0,0,0,0,1,0,0,0,1
156,7,31,2,1,6,6,6,6,0,0,0,0,0,0,0,0,0
157,4,19,1,2,6,6,5,4,0,0,0,1,1,1,0,0,1
158,2,18,2,1,4,6,6,4,0,0,0,0,0,1,0,0,1
159,2,45,2,3,4,3,4,4,0,0,1,0,0,0,0,0,0
160,2,30,2,2,5,5,5,5,0,0,0,0,0,0,0,0,1
161,2,28,2,3,6,5,3,4,0,0,1,0,0,0,0,0,0
162,2,24,2,3,2,4,4,4,0,0,0,1,1,0,0,0,1
163,2,20,2,2,4,5,4,4,0,1,0,0,0,1,0,0,1
164,4,23,1,1,5,5,2,4,0,0,1,0,0,0,0,0,0
165,7,45,2,3,4,3,3,4,0,0,0,0,0,0,0,0,0
166,7,41,2,1,6,2,4,5,1,0,0,0,1,0,0,0,1
167,7,30,1,1,6,6,6,6,0,1,0,0,0,1,0,0,0
168,7,35,2,1,6,6,1,6,0,0,0,1,1,0,0,0,0
169,7,40,2,3,6,5,4,4,0,0,0,0,0,0,0,1,1
170,7,24,1,2,6,5,5,6,0,0,0,1,0,1,0,0,1
171,7,26,2,1,6,6,5,6,0,0,0,0,1,0,0,0,1
172,7,27,2,3,6,6,5,5,0,0,0,0,1,1,0,0,1
173,7,41,2,5,6,6,3,5,0,0,0,0,1,0,0,0,1
174,7,35,2,1,6,5,5,6,0,0,0,0,0,0,0,0,1
175,7,17,2,1,6,6,4,4,0,1,1,0,0,1,0,0,1
176,7,19,2,2,6,5,5,5,1,0,0,0,0,0,0,0,0
177,7,23,1,4,6,6,4,6,0,0,0,1,1,0,0,0,0
