Year,Date,Sales
2011,Oct,2339865
2011,Nov,1821121
2011,Dec,2205798
2012,Jan,2507894
2012,Feb,2073230
2012,Mar,1961205
2012,April,1920631
2012,May,2226016
2012,Jun,3008560
2012,Jul,3434303
2012,Aug,3441587
2012,Sep,3042258
2012,Oct,2369178
2012,Nov,1935871
2012,Dec,2105856
2013,Jan,2661643.9
2013,Feb,2196408
2013,Mar,2138370.7
2013,April,1910477.2
2013,May,1907492.3
2013,Jun,2798902
2013,Jul,3306701.5
2013,Aug,3360638
2013,Sep,3217441.5
2013,Oct,2580555
2013,Nov,1918641.4
2013,Dec,2501768.8
