Date,oil,ex,sensex,
3-Mar-08,102.42,40.26,16677.88,
4-Mar-08,99.72,40.29,16339.89,
5-Mar-08,104.45,40.29,16542.08,
6-Mar-08,105.51,40.29,16542.08,
7-Mar-08,105.12,40.53,15975.52,
10-Mar-08,107.9,40.67,15923.72,
11-Mar-08,108.73,40.47,16123.15,
12-Mar-08,109.86,40.36,16127.98,
13-Mar-08,110.21,40.44,15357.35,
14-Mar-08,110.03,40.45,15760.52,
17-Mar-08,105.74,40.77,14809.49,
18-Mar-08,109.57,40.62,14833.46,
19-Mar-08,103.25,40.45,14994.83,
20-Mar-08,102.57,40.45,14994.83,
21-Mar-08,102.57,40.45,14994.83,
24-Mar-08,101.7,40.34,15289.4,
25-Mar-08,101.78,40.12,16217.49,
26-Mar-08,105.83,40.14,16086.83,
27-Mar-08,107.56,40.15,16015.56,
28-Mar-08,105.59,40.1,16371.29,
31-Mar-08,101.54,39.97,15644.44,
1-Apr-08,100.92,39.97,15626.62,
2-Apr-08,104.83,39.98,15750.4,
3-Apr-08,103.92,39.95,15832.55,
4-Apr-08,106.09,39.97,15343.12,
7-Apr-08,108.91,39.93,15757.08,
8-Apr-08,108.54,40.02,15587.62,
9-Apr-08,110.89,40.02,15790.51,
10-Apr-08,110.07,39.95,15695.1,
11-Apr-08,110.14,39.94,15807.64,
14-Apr-08,111.71,39.94,15807.64,
15-Apr-08,113.77,39.96,16153.66,
16-Apr-08,114.8,39.96,16244.19,
17-Apr-08,114.8,39.96,16481.2,
18-Apr-08,116.56,39.96,16481.2,
21-Apr-08,117.48,39.89,16739.33,
22-Apr-08,119.17,39.94,16783.87,
23-Apr-08,119.28,39.95,16698.04,
24-Apr-08,117.1,40.04,16721.08,
25-Apr-08,119.64,40.18,17125.98,
28-Apr-08,118.78,40.14,17015.96,
29-Apr-08,115.67,40.22,17378.46,
30-Apr-08,113.7,40.46,17287.31,
1-May-08,112.6,40.46,17287.31,
2-May-08,116.36,40.65,17600.12,
5-May-08,119.94,40.55,17490.9,
6-May-08,121.82,40.69,17373.01,
7-May-08,123.56,41.2,17339.31,
8-May-08,123.77,41.79,17080.65,
9-May-08,125.94,41.38,16737.07,
12-May-08,124.02,41.68,16860.9,
13-May-08,125.83,42.16,16752.86,
14-May-08,124.21,42.33,16978.35,
15-May-08,124.25,42.4,17353.54,
16-May-08,126.5,42.64,17434.94,
19-May-08,127.15,42.64,17230.18,
20-May-08,128.93,42.67,17230.18,
21-May-08,132.99,42.72,17243.16,
22-May-08,130.04,43.15,16907.11,
23-May-08,131.58,42.84,16649.64,
26-May-08,131.58,42.56,16348.5,
27-May-08,128.81,42.89,16275.59,
28-May-08,131,42.85,16525.37,
