Hour,MW
639,24483
640,24795
641,24637
642,26515
643,28457
644,28430
645,27519
646,24814
647,23825
648,23389
649,21512
650,21490
651,21302
652,21436
653,22344
654,26224
655,28066
656,27163
657,25813
658,26951
659,25864
660,25073
661,25106
662,25146
663,24701
664,24153
665,24589
666,26563
667,28822
668,28305
669,27815
670,25545
671,23857
672,22392
673,22005
674,21720
675,21915
676,21774
677,23508
678,26256
679,27099
680,27093
681,25860
682,26599
683,26698
684,25278
685,25980
686,25577
687,25374
688,25343
689,26307
690,27060
691,29270
692,28582
693,27776
694,25887
695,23796
696,23604
697,21863
698,21695
699,21690
700,21291
701,23204
702,25413
703,27420
704,26968
705,26389
706,26110
707,26006
708,25754
709,25467
710,24904
711,25296
712,24974
713,25093
714,27269
715,29014
716,28500
717,27832
718,25559
719,23815
720,22666
721,22263
722,21582
723,21247
724,21559
725,22942
726,24951
727,26591
728,27023
729,25449
730,26052
731,24809
732,24920
733,24906
734,24540
735,23742
736,23414
737,23660
738,25623
739,27804
740,27692
741,26448
742,24881
743,23256
744,22690
