Date,Price
11-09-2008,72.537468
12-09-2008,73.264023
15-09-2008,68.637192
16-09-2008,69.97554
17-09-2008,68.178345
18-09-2008,68.025383
19-09-2008,72.15509
22-09-2008,70.587349
23-09-2008,69.746101
24-09-2008,71.352112
25-09-2008,69.134293
26-09-2008,68.025383
29-09-2008,65.501678
30-09-2008,65.616394
01-10-2008,67.795967
03-10-2008,68.751923
06-10-2008,67.337112
07-10-2008,69.554916
08-10-2008,69.019577
10-10-2008,68.598953
13-10-2008,69.97554
14-10-2008,68.293068
15-10-2008,67.719498
16-10-2008,65.119316
17-10-2008,60.224846
20-10-2008,60.913132
21-10-2008,61.410217
22-10-2008,58.04528
23-10-2008,55.215652
24-10-2008,48.065155
27-10-2008,44.356071
29-10-2008,50.20649
31-10-2008,53.418476
03-11-2008,55.062717
04-11-2008,57.471699
05-11-2008,55.368603
06-11-2008,53.533203
07-11-2008,57.701126
10-11-2008,59.001221
11-11-2008,58.312935
12-11-2008,55.865719
14-11-2008,55.674519
17-11-2008,57.968796
18-11-2008,54.833275
19-11-2008,53.494949
20-11-2008,52.921394
21-11-2008,56.286331
24-11-2008,57.701126
25-11-2008,56.286331
26-11-2008,57.548176
27-11-2008,null
28-11-2008,56.63047
01-12-2008,56.171623
02-12-2008,55.674519
03-12-2008,57.356998
04-12-2008,60.110115
05-12-2008,59.383598
08-12-2008,59.536552
10-12-2008,58.580597
11-12-2008,57.930561
12-12-2008,56.133377
15-12-2008,57.05109
16-12-2008,59.230679
17-12-2008,59.154171
18-12-2008,60.913132
19-12-2008,63.857437
22-12-2008,63.895691
23-12-2008,62.5956
24-12-2008,61.524937
26-12-2008,61.639641
29-12-2008,62.939732
30-12-2008,62.825027
31-12-2008,63.589806
02-01-2009,64.5075
05-01-2009,63.054455
06-01-2009,62.5956
07-01-2009,59.30714
09-01-2009,59.001221
12-01-2009,57.433468
13-01-2009,56.592236
14-01-2009,56.706947
15-01-2009,55.865719
16-01-2009,57.624668
19-01-2009,59.842457
20-01-2009,66.534126
21-01-2009,62.098495
22-01-2009,65.042831
23-01-2009,65.960548
27-01-2009,68.101883
28-01-2009,69.631393
29-01-2009,69.172523
30-01-2009,67.490059
02-02-2009,63.933926
03-02-2009,64.966362
04-02-2009,65.966431
05-02-2009,65.581787
06-02-2009,66.466476
09-02-2009,66.504913
10-02-2009,66.389534
11-02-2009,66.543388
12-02-2009,69.774399
13-02-2009,72.159203
16-02-2009,68.812798
17-02-2009,65.774101
18-02-2009,67.581932
19-02-2009,67.812721
20-02-2009,66.389534
24-02-2009,70.620628
25-02-2009,70.428291
26-02-2009,71.466835
27-02-2009,74.543983
02-03-2009,71.082191
03-03-2009,68.543564
04-03-2009,70.428291
05-03-2009,70.543694
06-03-2009,71.197594
09-03-2009,69.966721
12-03-2009,72.005333
13-03-2009,73.005402
16-03-2009,73.774696
17-03-2009,74.082428
18-03-2009,73.543922
19-03-2009,74.005478
20-03-2009,74.313202
23-03-2009,75.544067
24-03-2009,75.697922
25-03-2009,74.659393
26-03-2009,74.04393
27-03-2009,72.73616
30-03-2009,72.73616
31-03-2009,73.543922
01-04-2009,70.736015
02-04-2009,72.005333
06-04-2009,71.159126
08-04-2009,74.928627
09-04-2009,73.813141
13-04-2009,72.813095
15-04-2009,74.697853
16-04-2009,72.774628
17-04-2009,75.005554
