"","w12","w13","w21"
"1970-01-02 05:30:00",0.996247795312013,0.907353859461638,0.00375220468798709
"1970-01-03 05:30:00",0.998149043929667,0.90853852596835,0.00185095607033282
"1970-01-04 05:30:00",0.99831238806279,0.908234620159298,0.00168761193720975
"1970-01-05 05:30:00",0.998533422016827,0.937629123688425,0.00146657798317247
"1970-01-06 05:30:00",0.998543752337919,0.948142470788719,0.00145624766208109
"1970-01-07 05:30:00",0.998884777034719,0.957611030092207,0.00111522296528108
"1970-01-08 05:30:00",0.998877955611571,0.958491717160287,0.00112204438842912
"1970-01-09 05:30:00",0.998886779215934,0.95990381848087,0.00111322078406631
"1970-01-10 05:30:00",0.998961403519245,0.958419388315521,0.00103859648075515
"1970-01-11 05:30:00",0.998962667259803,0.969258981513737,0.00103733274019712
"1970-01-12 05:30:00",0.999007132781654,0.966941566903655,0.000992867218345948
"1970-01-13 05:30:00",0.999001448454235,0.973298592720727,0.000998551545765187
"1970-01-14 05:30:00",0.998989243299239,0.971895342735356,0.00101075670076037
"1970-01-15 05:30:00",0.998926226023294,0.968226865133431,0.00107377397670571
"1970-01-16 05:30:00",0.99880135755607,0.956530931518971,0.0011986424439305
"1970-01-17 05:30:00",0.998950126062281,0.963194874303943,0.00104987393771916
"1970-01-18 05:30:00",0.998965428095866,0.964900087898833,0.00103457190413447
"1970-01-19 05:30:00",0.998867381323664,0.959893302880543,0.0011326186763355
"1970-01-20 05:30:00",0.999035271791337,0.959151843695616,0.000964728208663356
"1970-01-21 05:30:00",0.999036198822857,0.967919804924381,0.000963801177142521
"1970-01-22 05:30:00",0.999061303441649,0.968408679242155,0.000938696558350638
"1970-01-23 05:30:00",0.999000652052554,0.957260973103413,0.000999347947446591
"1970-01-24 05:30:00",0.998995602085292,0.965421172482647,0.00100439791470815
"1970-01-25 05:30:00",0.998998380682198,0.973508095357579,0.00100161931780226
"1970-01-26 05:30:00",0.999000586922331,0.973432170235611,0.00099941307766929
"1970-01-27 05:30:00",0.998926891547513,0.971420958567765,0.00107310845248663
"1970-01-28 05:30:00",0.998895516251957,0.976893158512199,0.00110448374804321
"1970-01-29 05:30:00",0.998797928664544,0.974256720785812,0.00120207133545601
"1970-01-30 05:30:00",0.998742594690339,0.969851385493363,0.00125740530966083
"1970-01-31 05:30:00",0.998745752263129,0.961609858722252,0.00125424773687125
"1970-02-01 05:30:00",0.998744351336909,0.961071273324665,0.00125564866309084
"1970-02-02 05:30:00",0.99873908090411,0.960467138035871,0.00126091909588964
"1970-02-03 05:30:00",0.998607738395202,0.956346349779127,0.00139226160479754
"1970-02-04 05:30:00",0.99862008096414,0.960414785141194,0.00137991903586011
"1970-02-05 05:30:00",0.998702766563017,0.971601352580089,0.00129723343698345
"1970-02-06 05:30:00",0.998734286666842,0.973391361873658,0.00126571333315768
"1970-02-07 05:30:00",0.998732476081057,0.972934660570241,0.00126752391894284
"1970-02-08 05:30:00",0.998729237539313,0.967756113726441,0.00127076246068717
"1970-02-09 05:30:00",0.997752258365858,0.857218402808407,0.00224774163414167
"1970-02-10 05:30:00",0.998035270241574,0.918962075131518,0.00196472975842636
"1970-02-11 05:30:00",0.998099326774797,0.931597982132819,0.00190067322520292
"1970-02-12 05:30:00",0.998071690274472,0.925606789523218,0.0019283097255279
"1970-02-13 05:30:00",0.998323070399749,0.919494303945368,0.00167692960025077
"1970-02-14 05:30:00",0.998545019939481,0.998893935725508,0.00145498006051943
"1970-02-15 05:30:00",0.998576851108003,1.00170402329248,0.00142314889199682
"1970-02-16 05:30:00",0.998508580251024,1.00113653140386,0.00149141974897597
"1970-02-17 05:30:00",0.998528688856732,1.0011087071753,0.00147131114326777
"1970-02-18 05:30:00",0.998475686216477,1.00119877437048,0.0015243137835228
"1970-02-19 05:30:00",0.997996192551701,0.999474632178008,0.0020038074482993
"1970-02-20 05:30:00",0.998866434447161,0.998890636500342,0.00113356555283877
"1970-02-21 05:30:00",0.99883837208681,0.997676548184577,0.00116162791319034
"1970-02-22 05:30:00",0.998804272803536,0.998295685043347,0.0011957271964637
"1970-02-23 05:30:00",0.998036008085462,0.973538267254572,0.00196399191453791
"1970-02-24 05:30:00",0.998056658115247,0.978769607663579,0.00194334188475326
"1970-02-25 05:30:00",0.998063713285424,0.97914953060648,0.00193628671457556
"1970-02-26 05:30:00",0.998057674346936,0.978883435059815,0.00194232565306351
"1970-02-27 05:30:00",0.998059835444095,0.978647581476013,0.00194016455590473
"1970-02-28 05:30:00",0.997851942117993,0.972646471520071,0.0021480578820074
"1970-03-01 05:30:00",0.997852164429498,0.986477020784259,0.00214783557050163
"1970-03-02 05:30:00",0.997853885352701,0.992450704889128,0.00214611464729892
"1970-03-03 05:30:00",0.99781262338262,0.990506094450039,0.00218737661738013
"1970-03-04 05:30:00",0.997771110251411,0.990114491854395,0.00222888974858885
"1970-03-05 05:30:00",0.997800160922775,0.99456375385549,0.00219983907722454
"1970-03-06 05:30:00",0.997971880943812,0.989955186604264,0.00202811905618837
"1970-03-07 05:30:00",0.99798838115474,0.992722381178338,0.00201161884525974
"1970-03-08 05:30:00",0.997973341626906,0.993657107809502,0.00202665837309434
"1970-03-09 05:30:00",0.997990625276069,0.998808439152848,0.002009374723931
"1970-03-10 05:30:00",0.998065066919279,0.997589889805862,0.00193493308072073
"1970-03-11 05:30:00",0.997802770781312,0.991693632368285,0.00219722921868841
"1970-03-12 05:30:00",0.997069478285702,0.966369113541284,0.00293052171429757
"1970-03-13 05:30:00",0.996685645746398,0.937620196227496,0.00331435425360165
