"","beta12","beta13","beta21","beta23","beta31","beta32"
"1970-01-02 05:30:00",-0.0946354152037241,5.50899706370751,-0.0946354152037241,0.00400872335918482,5.50899706370751,2.33669145782837
"1970-01-03 05:30:00",-0.0796118916727591,5.60229732401035,-0.0796118916727591,0.00455137348733613,5.60229732401035,2.68164466349259
"1970-01-04 05:30:00",-0.0790357737325155,5.4047955832795,-0.0790357737325155,0.00460011189570008,5.4047955832795,2.61690631351015
"1970-01-05 05:30:00",-0.0854810896798527,5.20822420134829,-0.0854810896798527,0.0045857128414741,5.20822420134829,2.98983380035985
"1970-01-06 05:30:00",-0.0971859277263492,5.45124076256018,-0.0971859277263492,0.00382883966332057,5.45124076256018,2.42480473922877
"1970-01-07 05:30:00",-0.0999877190730296,5.40031151118529,-0.0999877190730296,0.0032569939166518,5.40031151118529,2.148812960176
"1970-01-08 05:30:00",-0.0970079867675249,5.16007940625517,-0.0970079867675249,0.00305260613185052,5.16007940625517,1.98482071755197
"1970-01-09 05:30:00",-0.094630443295434,4.75827965978696,-0.094630443295434,0.00338587924940063,4.75827965978696,2.03605133521636
"1970-01-10 05:30:00",-0.0934129964545721,4.65191552608529,-0.0934129964545721,0.00346669431168621,4.65191552608529,2.00043090825673
"1970-01-11 05:30:00",-0.0928961360011889,4.54960238473585,-0.0928961360011889,0.00322856800897524,4.54960238473585,1.94657115179681
"1970-01-12 05:30:00",-0.0967401081147121,3.733000099457,-0.0967401081147121,0.00414076026013332,3.733000099457,2.1186365658639
"1970-01-13 05:30:00",-0.0720636571412168,3.54025955632211,-0.0720636571412168,0.00264698779928258,3.54025955632211,1.76622553430908
"1970-01-14 05:30:00",-0.0715737478162742,3.50579014688324,-0.0715737478162742,0.00271414837940159,3.50579014688324,1.75115399014418
"1970-01-15 05:30:00",-0.0662457179189052,3.36296252046262,-0.0662457179189052,0.00239373821862602,3.36296252046262,1.56501325758876
"1970-01-16 05:30:00",-0.0680188620886862,3.43408316579945,-0.0680188620886862,0.00249881497800243,3.43408316579945,1.46114888702069
"1970-01-17 05:30:00",-0.0719920577026672,3.48523340918466,-0.0719920577026672,0.00205871697641007,3.48523340918466,1.3218765729302
"1970-01-18 05:30:00",-0.0719300773041381,3.46118000013545,-0.0719300773041381,0.00213495086561684,3.46118000013545,1.32329007495801
"1970-01-19 05:30:00",-0.0712021248268926,3.29584152230925,-0.0712021248268926,0.00247913136565076,3.29584152230925,1.46053154990129
"1970-01-20 05:30:00",-0.0945538815167696,3.56922411060144,-0.0945538815167696,0.00238752019982944,3.56922411060144,1.71148114246977
"1970-01-21 05:30:00",-0.103055324305288,3.80667064552115,-0.103055324305288,0.00199908389932414,3.80667064552115,1.43968457131638
"1970-01-22 05:30:00",-0.0864478324620542,3.85030434780925,-0.0864478324620542,0.00152979833759417,3.85030434780925,1.19721728493118
"1970-01-23 05:30:00",-0.0835035786014429,3.76810860248264,-0.0835035786014429,0.00144698220506553,3.76810860248264,1.18086993999455
"1970-01-24 05:30:00",-0.0833331705746112,3.67825913028151,-0.0833331705746112,0.00137910216133954,3.67825913028151,1.06120143764957
"1970-01-25 05:30:00",-0.0841883755405742,3.72791197535533,-0.0841883755405742,0.00151492702182936,3.72791197535533,1.05357116988256
"1970-01-26 05:30:00",-0.0818065049409356,3.65597698104396,-0.0818065049409356,0.00163758279466133,3.65597698104396,1.13235530432454
"1970-01-27 05:30:00",-0.0731901609982211,3.49812393125502,-0.0731901609982211,0.00235846392312723,3.49812393125502,1.84323350947565
"1970-01-28 05:30:00",-0.0681091721127671,3.35424203870052,-0.0681091721127671,0.00179470848691112,3.35424203870052,1.44214828620369
"1970-01-29 05:30:00",-0.0685036248612281,3.33870561875378,-0.0685036248612281,0.00163356667650048,3.33870561875378,1.30417116675118
"1970-01-30 05:30:00",-0.0779551819324978,3.72291107656737,-0.0779551819324978,0.00167272116934344,3.72291107656737,1.29535648019089
"1970-01-31 05:30:00",-0.0895458890345722,4.38498439620719,-0.0895458890345722,0.00171849985907611,4.38498439620719,1.29495101441388
"1970-02-01 05:30:00",-0.026285181749595,4.74759868822631,-0.026285181749595,0.00439689766838955,4.74759868822631,5.63620204149215
"1970-02-02 05:30:00",-0.0301046949714223,4.6918703667127,-0.0301046949714223,0.0034900217571322,4.6918703667127,4.9158373861945
"1970-02-03 05:30:00",-0.0301695312006513,4.64419982772986,-0.0301695312006513,0.00353402292518553,4.64419982772986,4.80270384530714
"1970-02-04 05:30:00",-0.0300396210612586,4.52124434960643,-0.0300396210612586,0.00351363210404988,4.52124434960643,4.660122445911
"1970-02-05 05:30:00",-0.0286496713847745,4.43709147323988,-0.0286496713847745,0.00465463252334732,4.43709147323988,3.98865920157002
"1970-02-06 05:30:00",-0.0314694058578783,4.06993006529547,-0.0314694058578783,0.00509017522070739,4.06993006529547,4.09450678569365
"1970-02-07 05:30:00",-0.0348292603443842,3.53826462590095,-0.0348292603443842,0.00597772260073704,3.53826462590095,4.44982158718509
"1970-02-08 05:30:00",-0.0383297870369502,3.39509982447693,-0.0383297870369502,0.00618246078585379,3.39509982447693,4.40949919517683
"1970-02-09 05:30:00",-0.0388373008733429,3.14485774639104,-0.0388373008733429,0.00651233228095088,3.14485774639104,4.07816786134276
"1970-02-10 05:30:00",-0.0410017121490093,2.9327333551402,-0.0410017121490093,0.00654133581061696,2.9327333551402,3.28694563329454
"1970-02-11 05:30:00",-0.018932330065536,2.93951116182022,-0.018932330065536,0.00501186109344349,2.93951116182022,4.87129313054547
