DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
4178,West Bengal-3-22-2,6.7,0.14,136.955,2.75,1.55,4.5,33.464,0.5,361,2170,0,20613
4179,West Bengal-3-22-3,6.75,0.14,136.467,3,0.83,6,30.595,0,377,2260,0,1803
4180,West Bengal-3-22-4,6.65,0.14,138.25,10.9,0.16,4,28.607,0.5,420,440,0,99879
4181,West Bengal-3-22-5,7.65,0.17,157.817,6.15,0.75,6,39.365,0.7,506,1766,0,3975
4182,West Bengal-3-22-6,24.3,0.47,462.2,15.5,2.33,18.15,86.81,0,1295,1542,0,33615
4183,West Bengal-3-22-7,12.95,0.24,227.617,9,2.65,8.5,56.259,1.75,779,971.25,0,24684
4184,West Bengal-3-22-8,25.2,0.46,500.65,7,1.4,14,111.81,4,1314.5,2907.46,0,1057630
4185,West Bengal-3-22-9,13.6,0.25,259.05,9.35,1.1,9,53.022,0.75,855.1,6495,0,5547
4187,West Bengal-3-23-10,94.94,1.95,1896.5,0,25.5,99,253.8,54,2855,17570,0,65650
4189,West Bengal-3-23-3,19.2,0.41,589,0,5,54,47.74,17,462,2800,50,12510
4190,West Bengal-3-23-4,36.44,0.8,754,0,11,86,99.63,28,954,5600,0,35655
4192,West Bengal-3-23-6,72.35,1.54,1457,0,0,139,230.95,16,1607,3369.6,0,272280
4193,West Bengal-3-23-7,72.1,1.47,1482.833,0,20,77,241.7,40,1558,11340,0,49400
4194,West Bengal-3-23-8,72.01,1.54,1424,0,19,169,184.468,34,1565,5134.558,0,223890
4196,West Bengal-3-24-1,12.2,0.24,257,0,4,15,44,0,295,2600,0,1086
4197,West Bengal-3-24-10,123.2,2.67,2314,0,47.75,174,440.76,0,2928,21200,0,11580
4198,West Bengal-3-24-2,24.3,0.48,474,0,8.5,31,88.2,0,529,4700,0,1088
4199,West Bengal-3-24-3,24.9,0.52,587,0,9.75,36,99.03,0,566,1835,0,17296
4200,West Bengal-3-24-4,24.4,0.52,501,0,9.5,35,96.82,0,576,5500,0,1114
4201,West Bengal-3-24-5,38.9,0.8,733,0,14.5,45,147.42,0,989,8600,0,1472
4202,West Bengal-3-24-6,65,1.41,1244,0,25.5,78,270.46,0,1619,13700,0,3525
4203,West Bengal-3-24-7,60.2,1.23,1112,0,23.5,72,233.7,0,1113,14600,0,3495
4204,West Bengal-3-24-8,80.8,1.69,1526,0,30.5,92,291.15,0,1931,16200,0,9460
4205,West Bengal-3-24-9,129.4,2.73,2396,0,49.5,157,436.9,0,2793,26500,0,79536
4206,West Bengal-3-9-1,2.6,0.06,101.833,13,0,5,10.34,0,40,225,0,174.5
4207,West Bengal-3-9-10,52.9,1.08,1545.667,200,0,74,135.62,30,1277,6068,0,225531
