DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Total Irrigation Charges (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
11,Andhra Pradesh-1-2-1,28,0.64,451,24,5.15,48,70.5,20,750,160,0,420
12,Andhra Pradesh-1-2-10,129,3.4,1008,0,28,270,445,50,5900,850,0,1200
13,Andhra Pradesh-1-2-2,33,0.8,508,0,5,60,55,0,750,200,0,680
14,Andhra Pradesh-1-2-3,58,1.2,837,20,8.45,90,135.5,55,2250,200,0,320
15,Andhra Pradesh-1-2-4,56,1.28,793,0,9.15,95,162,35,2250,320,0,600
16,Andhra Pradesh-1-2-5,100,2.2,715,0,19.3,145,265,0,4600,550,0,1120
17,Andhra Pradesh-1-2-6,114,2.4,1072.5,0,20.8,180,307.5,90,5000,600,0,2580
18,Andhra Pradesh-1-2-7,113,2.44,2353,401,6,183,324,90,5700,620,0,4200
19,Andhra Pradesh-1-2-8,90,2.64,2486.5,301,12.5,198,372,40,0,300,0,102156
20,Andhra Pradesh-1-2-9,129,3,1111,24,26.5,225,386,140,7700,750,0,24060
31,Andhra Pradesh-1-4-1,23.25,0.7,624.667,76,2.5,50,108.9,15,340,480,0,56686
32,Andhra Pradesh-1-4-10,93.75,1.96,2011.001,27,20.6,170,300.7,0,800,2400,0,3835
33,Andhra Pradesh-1-4-2,33,0.84,855,34,7,65,123.6,5,880,2400,0,1360
34,Andhra Pradesh-1-4-3,32.25,0.88,1013,30,9.5,70,165.2,10,680,1200,0,1208
35,Andhra Pradesh-1-4-4,55.5,1.2,1125,24,12.3,120,93.6,25,1440,1920,0,1186
36,Andhra Pradesh-1-4-5,82.5,1.6,1624,44,17.6,150,225,10,1880,3360,0,3456
37,Andhra Pradesh-1-4-6,91.5,2.16,2114.668,30,26,160,284.8,25,1600,2400,150,4123
38,Andhra Pradesh-1-4-7,107.25,2.4,2172.667,138,11,210,379.2,20,1920,909.92,0,92239
39,Andhra Pradesh-1-4-8,82.5,2,1794.333,90,19.3,170,363,20,1840,413.6,0,86264
40,Andhra Pradesh-1-4-9,129,3.07,2710.668,46,31.6,240,433.6,45,1920,1200,0,5684
50,Andhra Pradesh-1-6-1,18.75,0.4,350.33,1,14,30,106.5,0,700,654.96,225,17646
51,Andhra Pradesh-1-6-10,22.5,0.4,285,2,13,25,103.5,0,825,548.178,225,32540
52,Andhra Pradesh-1-6-2,48.75,1.03,735,3,33,75,289,0,1950,1699.44,450,18589
53,Andhra Pradesh-1-6-3,61.5,1.42,912,4,33,105,437.5,0,1900,2912.76,525,47746
54,Andhra Pradesh-1-6-4,33.75,0.61,405,2,15.5,50,177,0,1050,1995.76,300,13574
55,Andhra Pradesh-1-6-5,63,1.21,791,3,38,90,258,0,2500,1955.887,450,21182
56,Andhra Pradesh-1-6-6,119.25,2.42,1392,6,75,180,470,0,5280,4019.22,1350,47916
57,Andhra Pradesh-1-6-7,42,0.81,543.333,2,18,60,256.5,0,1735,1043.096,300,15002
58,Andhra Pradesh-1-6-8,84,1.61,974,4,36,120,371,0,3880,956,600,1009
59,Andhra Pradesh-1-6-9,112.5,2.02,1195,3,51,150,479.5,0,3800,3069.495,750,57532
60,Andhra Pradesh-2-10-10,621.75,8.22,3411.5,0,66.5,770,1978.9,0,26985,1190,675,15372
61,Andhra Pradesh-2-10-2,147.75,1.94,979.5,0,17.5,180,535.65,0,7095,715.826,500,16930
62,Andhra Pradesh-2-10-3,114,1.73,849.5,0,14.5,160,142,0,9770,2342.104,0,8305
63,Andhra Pradesh-2-10-4,165,2.28,1183.5,0,21,227,597.5,0,7430,772.877,0,149872
64,Andhra Pradesh-2-10-5,404.25,5.58,2831.667,0,53,506,1589.86,0,19802,1569.875,1500,159758
65,Andhra Pradesh-2-10-6,361.5,4.96,2421.5,0,42.5,455,1101,0,19279,1211.985,1200,88478
66,Andhra Pradesh-2-10-7,213.5,3.6,1932,0,30,360,621,0,14605,1917.756,0,21516
67,Andhra Pradesh-2-10-8,255,3.61,2089,0,33.5,350,567,0,20875,833.106,0,31011
68,Andhra Pradesh-2-10-9,661.5,8.68,4157.5,0,76.5,803,1697,0,31740,1596,0,48412
69,Andhra Pradesh-2-11-1,56.5,0.8,571.3,0,11.8,60,138,0,1923,339,940.4,1400
70,Andhra Pradesh-2-11-10,661.25,9.2,5326,0,131,660,1834,0,18491,3973,6984,1552
71,Andhra Pradesh-2-11-2,106.5,1.48,1046.3,0,22.6,120,349.65,0,2960,644,1766.2,1254
72,Andhra Pradesh-2-11-3,164.25,2.44,1452.3,0,35.5,200,491.5,0,4365,1057,2900,628
73,Andhra Pradesh-2-11-4,222,3.14,2049.9,0,43.6,240,677.25,0,9787,1359,3625,1280
74,Andhra Pradesh-2-11-5,360,4.82,2756.333,0,65.8,380,956,0,8000,2086,2860,1096
75,Andhra Pradesh-2-11-6,453,6.24,4425.6,0,84.9,480,1448.2,0,14972,2696,2476,1620
76,Andhra Pradesh-2-11-7,558.08,8.08,4510.9,0,124.6,681,1792.9,0,20418,3515,1629,54992
77,Andhra Pradesh-2-11-8,531.75,7.64,4752.667,13,104.25,600,1482.25,0,19272,3304,1662,3408
78,Andhra Pradesh-2-11-9,615,8.76,5361.6,0,126.15,670,1624.6,0,11730,3787,4389,14292
79,Andhra Pradesh-2-12-1,131.25,1.84,871.5,0,19.95,138,433.5,60,6038,2119.7,1120,160620
80,Andhra Pradesh-2-12-10,690.75,9.86,2793,0,73.45,734,2450.4,0,17340,12201.2,5840,1402539
81,Andhra Pradesh-2-12-2,115.5,1.62,446.666,0,13,120,332.5,0,3620,1654.4,1440,92826
82,Andhra Pradesh-2-12-3,171,2.38,1069,0,25.3,176,545.2,30,3285,2357.52,1660,135583
83,Andhra Pradesh-2-12-4,149.25,2.08,591.334,0,15.5,154,501,0,4540,2274.8,1360,381320
84,Andhra Pradesh-2-12-5,402.75,5.72,2474,0,57,424,1190,90,6350,6183.32,2350,655260
85,Andhra Pradesh-2-12-6,294.75,4.18,1199,0,32.3,310,981,0,8335,4466.88,4020,1373499
86,Andhra Pradesh-2-12-7,378,5.4,1556,0,38.6,402,1067,0,3715,5190.68,3240,624486
87,Andhra Pradesh-2-12-8,462,6.54,1718,0,52,486,1506,0,11100,7279.36,2980,341600
88,Andhra Pradesh-2-12-9,799.5,11.36,3021,0,90,842,2821,0,24108,8106.56,4540,499000
89,Andhra Pradesh-2-13-1,60,0.809,484.667,0,9,44,165,0,4200,82.72,0,281117
90,Andhra Pradesh-2-13-10,466.75,6.94,3668.667,0,153.75,350,1784.45,250,18640,4852.24,0,181560
91,Andhra Pradesh-2-13-2,57,0.809,532.667,0,10,50,165,50,2950,165.44,0,36876
92,Andhra Pradesh-2-13-3,81,1.21,744,0,13.5,60,274.8,0,1050,227.48,0,264
94,Andhra Pradesh-2-13-5,234.61,3.37,2008.667,0,49.25,170,752.4,200,8050,726.16,0,41232
95,Andhra Pradesh-2-13-6,295.8,3.7,939.333,0,18,180,761.4,0,8500,2088.16,0,40742
96,Andhra Pradesh-2-13-7,277.5,4.047,2078,0,48,242,856,200,9650,2206.8,0,408603
97,Andhra Pradesh-2-13-8,348,4.95,2625.667,0,56,305,1088,125,12700,2784.88,0,460436
98,Andhra Pradesh-2-13-9,490.4,6.17,1498.333,0,31,305,1375.3,0,16120,3060,0,235242
109,Andhra Pradesh-2-15-10,67.5,1.234,536,3.75,20,0,607.75,0,4740,1116.72,450,164846
112,Andhra Pradesh-2-15-8,153,2.513,1100.667,12,40.5,0,832.25,0,15058,620.4,925,168973
113,Andhra Pradesh-2-16-10,183.75,2.8,1042,0,21,150,1484,0,11025,2522.96,0,43630
114,Andhra Pradesh-2-16-2,28.5,0.4,207.167,0,7.5,30,227,0,1575,1488.96,0,38674
115,Andhra Pradesh-2-16-4,76.5,1.12,622.501,6,17,70,475.1,0,4300,915.607,0,82200
116,Andhra Pradesh-2-16-5,187.6,3.2,1209.5,0,46,160,1890.5,2.5,11550,1888.286,0,103014
117,Andhra Pradesh-2-16-6,495,7.2,2188,0,90.5,380,4138,0,28750,5376.8,0,141510
118,Andhra Pradesh-2-16-7,190.5,2.8,899,0,39.8,140,1144,30,16400,1900,0,90080
119,Andhra Pradesh-2-16-8,236.25,3.44,1134.167,10,38,198,1687.4,0,15005,4058.586,0,255686
120,Andhra Pradesh-2-16-9,193.5,2.8,942,0,4,180,1499,0,13650,4395.728,0,572596
121,Andhra Pradesh-2-21-10,157.5,2.4,1533,0,32,150,590,0,25110,3951.626,0,20426
122,Andhra Pradesh-2-21-4,45,0.8,409,0,13,60,110,0,1900,996.61,0,6985
123,Andhra Pradesh-2-21-5,157.5,2.8,1725.333,0,53,175,757,0,32110,2273.372,0,18309
124,Andhra Pradesh-2-21-7,67.5,1.2,780,0,19,90,236,0,2800,1903.441,0,5746
125,Andhra Pradesh-2-21-8,120,3.2,606.667,0,29,240,600,0,17960,1000,0,2126
126,Andhra Pradesh-2-21-9,38.25,0.6,241,0,18.5,45,144,0,2850,1474.104,0,43015
127,Andhra Pradesh-2-22-1,80,1,1109.667,0,22.5,75,472.1,72,6980,1407.154,0,44490
128,Andhra Pradesh-2-22-10,467.5,6.4,4702.667,0,129,480,2677.05,522,46320,3356.158,0,167238
129,Andhra Pradesh-2-22-2,137.5,1.8,1438.333,0,29,147,732.2,162,13630,1133.999,0,48732
130,Andhra Pradesh-2-22-3,123,1.6,1272,0,28.5,132,650.6,162,10240,1142.283,0,37910
131,Andhra Pradesh-2-22-4,148,2,1539.667,0,33,162,829.5,180,15105,1099.091,0,34918
132,Andhra Pradesh-2-22-5,56.5,0.8,661.667,0,14.5,60,296.6,90,5980,1093.528,0,17620
133,Andhra Pradesh-2-22-6,160,1.8,1526.666,0,41.5,140,701,122,14465,1249.756,0,56560
134,Andhra Pradesh-2-22-7,176,2.4,1761,0,46,180,989.5,180,17350,1170.868,0,46112
135,Andhra Pradesh-2-22-8,72,1,861,0,16,75,357,90,8260,872.322,0,15580
136,Andhra Pradesh-2-22-9,260,3.6,2724.667,0,77.5,275,1439.5,288,26805,2411.999,0,112170
147,Andhra Pradesh-2-7-1,119.2,1.7,980,6,20.9,100,337.16,60,23492,738,520,2932
148,Andhra Pradesh-2-7-10,670.25,10.9,6769.334,44,284,617,3214.1,0,139409,4731.5,3040,37512
149,Andhra Pradesh-2-7-2,109.5,1.76,1071,7,62.6,100,434.5,60,16715,766,480,1838
150,Andhra Pradesh-2-7-3,179.25,2.82,1253,12,91.35,171,830,0,27600,1225,960,4246
151,Andhra Pradesh-2-7-4,228.75,3.56,2775,18,94.3,212,1239.85,80,39175,1554,1320,9924
152,Andhra Pradesh-2-7-5,491.25,7.98,4961,37,221.8,428,2209.9,0,90239,3475,2920,42088
153,Andhra Pradesh-2-7-6,249.75,3.68,1746,17,130.3,182,1072.5,0,47452,1371,980,14100
154,Andhra Pradesh-2-7-7,708.75,11.34,6312.334,55,298,655,3125.75,160,129016,4913.5,2820,35152
155,Andhra Pradesh-2-7-8,723.75,11.48,6957,49,403.05,664,2862.5,160,130736,4991,3200,37568
156,Andhra Pradesh-2-7-9,785.25,12.7,7337.333,27,354.75,700,3551.75,0,100467,5448,3300,37512
157,Andhra Pradesh-2-8-10,333,4.49,2354,0,32.87,330,603,0,14325,6452.16,590,124890
158,Andhra Pradesh-2-8-2,151.8,1.86,1200,0,15.395,130,509.3,0,4530,6948.48,340,235098
159,Andhra Pradesh-2-8-3,82.95,1.28,657,0,8.75,90,314,0,4470,3846.48,300,124624
160,Andhra Pradesh-2-8-5,320.67,4.12,2298,0,33.22,330,806,0,13980,10670.88,1184,227148
161,Andhra Pradesh-2-8-7,291.625,4.16,1982,0,31.79,300,801,0,12010,10050.48,720,235398
162,Andhra Pradesh-2-8-9,339.55,4.48,2140,0,34.845,330,738,0,9640,7196.64,1020,202503
173,Andhra Pradesh-3-24-1,51,0.8,552.333,0,16,70,243,0,2800,1252.478,0,39529
174,Andhra Pradesh-3-24-10,141.75,2,1141.667,0,25,155,669,0,5600,4484.977,0,328030
175,Andhra Pradesh-3-24-2,82.5,1.4,991.333,0,21,115,449,0,3200,1256.732,0,111054
176,Andhra Pradesh-3-24-3,132.75,2,1256.334,0,25,160,576.7,0,5600,1541.156,0,118962
177,Andhra Pradesh-3-24-4,79.5,1.2,1054.999,0,11,136,398.5,0,0,1303.475,0,116466
178,Andhra Pradesh-3-24-5,54,0.8,629,0,16,60,307,0,3200,1640.582,0,68715
179,Andhra Pradesh-3-24-6,160.5,2.4,1471,0,33,188,701,0,5000,1688.331,0,185186
180,Andhra Pradesh-3-24-7,138.75,2,1127.334,0,36,165,756,0,3520,3620,0,47746
181,Andhra Pradesh-3-24-8,135,2,1164.667,0,20,160,660,0,2400,1313.241,0,76589
182,Andhra Pradesh-3-24-9,262.5,4,1684,0,52,320,1210,0,12000,1655.369,0,40192
183,Andhra Pradesh-3-25-1,88.2,1.2,561.334,0,21.6,100,297.7,0,5815,1242.934,0,95142
184,Andhra Pradesh-3-25-10,402.3,5.4,2293.667,0,68.05,396,1211.14,90,21995,4097.748,0,172104
185,Andhra Pradesh-3-25-2,94.76,1.3,650.666,0,18.85,104,286.6,30,10730,1039.337,0,110438
186,Andhra Pradesh-3-25-3,65.81,0.9,445,0,13.25,79,223.6,0,10060,1323.177,0,85769
187,Andhra Pradesh-3-25-4,98.7,1.6,609.333,0,20.5,0,386,0,8840,1690,0,78928
188,Andhra Pradesh-3-25-5,356.4,5.1,1851.334,0,58.2,330,1031.9,0,19984,1813,0,51704
189,Andhra Pradesh-3-25-6,224.33,3,1402.666,6,48.4,245,540.74,96,12280,1447.745,0,85446
190,Andhra Pradesh-3-25-7,549.35,7.4,2196,0,20.1,535,1515.5,0,39300,3578.569,0,355864
191,Andhra Pradesh-3-25-8,558.45,7.4,2634.667,10,85.25,545,1647.78,0,43229,2780,0,125199
192,Andhra Pradesh-3-25-9,473.25,6.4,2570.333,0,18.3,678,1249.1,0,39950,5709.83,0,249404
193,Andhra Pradesh-3-26-10,90.5,1.6,747.333,0,43,115,284.4,160,2736,9347.36,0,175670
194,Andhra Pradesh-3-26-3,48.75,0.8,470.667,0,23.3,55,167.5,250,681,3653.334,0,50020
195,Andhra Pradesh-3-26-4,45,0.7,362.333,0,16.1,50,144.5,100,681,1697.368,0,50730
196,Andhra Pradesh-3-26-5,180,2.4,1078.666,0,77.8,165,528,420,2193,4397.349,0,111700
197,Andhra Pradesh-3-26-6,16.5,0.3,180,0,9,20,66.5,60,656,1784.689,0,48450
198,Andhra Pradesh-3-26-7,202,2.8,1175.333,0,73.5,195,557.5,280,3524,2496.522,0,32600
199,Andhra Pradesh-3-26-8,93.5,1.2,633.666,15,35.3,85,222.5,160,1602,7548.2,0,112025
200,Andhra Pradesh-3-26-9,102,1.4,684,0,24.2,98,257,200,1332,3522.417,0,186788
201,Andhra Pradesh-3-28-10,26.25,0.4,518,12,24,60,161,0,2810,2972.075,0,35677
203,Andhra Pradesh-3-29-1,21,0.4,528,12,13,40,64,0,1175,120,0,25500
204,Andhra Pradesh-3-29-3,21,0.4,337,18,2,60,132.5,14,0,2068,0,69242
205,Andhra Pradesh-3-30-1,92,1.6,1337.5,0,15,120,344,70,0,1134.067,0,48878
206,Andhra Pradesh-3-30-10,79.1,1.6,903.666,0,16.5,120,406,40,800,2817.797,0,64331
207,Andhra Pradesh-3-30-2,24,0.4,530,0,5,30,149,28,400,826.642,0,33490
208,Andhra Pradesh-3-30-7,214.5,3.8,1899.333,0,34.9,330,420,70,1600,5193.589,0,138867
209,Andhra Pradesh-3-30-9,219,3.97,1244,0,27.8,300,280,69,0,2942.868,0,51352
210,Andhra Pradesh-3-31-1,45,0.6,393.333,50,4,60,286,0,550,195,0,170253
211,Andhra Pradesh-3-31-10,37,0.5,264.667,28,7.5,60,192,0,295,2348.5,0,193242
212,Andhra Pradesh-3-31-2,42,0.7,383.333,21,15,60,210,0,580,409.874,0,12670
213,Andhra Pradesh-3-31-5,48,0.6,434.667,21,9,60,172,0,2150,1022.725,0,151852
214,Andhra Pradesh-3-31-6,49,0.6,442.67,21,15,60,288,0,2130,965.939,0,131344
215,Andhra Pradesh-3-31-8,75,1.2,605.333,0,4,147,407.2,0,0,1124.176,0,155616
216,Andhra Pradesh-3-31-9,37,0.5,261,28,7.5,60,203.5,0,795,1552.727,0,35056
217,Andhra Pradesh-3-32-10,118.5,2,1082,12,24,204,188,120,1100,362.673,0,668000
218,Andhra Pradesh-3-32-2,42,0.56,464,36,8,45,78,60,230,545.771,0,49689
219,Andhra Pradesh-3-32-5,45,0.6,468,18,12,45,78,60,0,260.884,0,104348
220,Andhra Pradesh-3-32-6,75,1,614,0,0,148,78,60,880,511.658,0,324987
221,Andhra Pradesh-3-32-8,60,0.8,542,48,12,60,110,80,440,102.986,0,94876
222,Andhra Pradesh-3-32-9,75,1,652,6,24,75,66.5,80,560,181.914,0,61925
231,Andhra Pradesh-3-33-8,590,8,2177,0,129,602,1897,0,25925,1243.873,0,389560
233,Andhra Pradesh-3-34-1,45,0.62,291,0,17,50,174.5,0,810,2550,0,13110
234,Andhra Pradesh-3-34-10,270,3.6,1941,0,21,270,1128,0,4950,3836.795,0,156518
235,Andhra Pradesh-3-34-2,46,0.62,401,0,12,50,151,0,1560,2851.613,0,35199
236,Andhra Pradesh-3-34-3,90,1.2,674,0,16,90,354,0,750,3982.067,0,30459
237,Andhra Pradesh-3-34-4,181,2.4,1278.67,0,22,180,730,0,2480,3398.182,0,82272
238,Andhra Pradesh-3-34-5,224,2.82,1974,0,40,222,781.5,0,3200,6970.982,0,61908
239,Andhra Pradesh-3-34-6,180,2.4,1382,0,20,180,532,0,5370,4340.33,0,31895
240,Andhra Pradesh-3-34-7,150,2,874,0,24,162,496,0,1050,3068.098,0,48945
241,Andhra Pradesh-3-34-8,320,4.4,2542,0,18,404,1527.5,0,8220,10596.851,0,524932
242,Andhra Pradesh-3-34-9,475,6.4,3216,0,20,582,1983,0,22520,4546.362,0,751166
243,Andhra Pradesh-4-35-1,58,0.88,417,24,1,60,98.5,0,550,827.2,0,14232
244,Andhra Pradesh-4-35-10,385,6.92,2681.667,24,21,410,862,0,2400,5682.431,0,122500
245,Andhra Pradesh-4-35-2,29,0.87,293,18,4,60,87,0,0,413.6,0,8048
246,Andhra Pradesh-4-35-4,140,3.52,981.667,0,8,201,443.4,0,0,827.2,0,802851
247,Andhra Pradesh-4-35-5,44,0.88,560.667,15,6,60,98.5,0,100,1473.427,0,11976
248,Andhra Pradesh-4-35-6,233,3,1226,78,17,205,591,0,0,5089.2,0,146607
249,Andhra Pradesh-4-35-7,78,1.6,883,42,8,120,197,0,1500,3722.4,0,55959
250,Andhra Pradesh-4-35-8,112,2,874,28,9,125,240.5,0,3450,3339.131,0,86308
251,Andhra Pradesh-4-35-9,83,2,1011.667,48,6,125,272.2,0,3140,4342.8,0,155634
252,Andhra Pradesh-4-36-10,83,1.6,530,0,4,139,179,0,1869,12000,0,862998
253,Andhra Pradesh-4-36-7,28.5,0.5,349,2,6,40,110,0,420,3398.438,0,106520
254,Andhra Pradesh-4-36-8,47.5,1.2,688,0,8,90,153.5,0,750,2680.599,0,112936
255,Andhra Pradesh-4-37-7,18,0.4,265,4,6,30,49.5,0,180,663.002,0,137772
256,Andhra Pradesh-4-39-1,38.5,0.8,485,30,16,60,174,0,690,1534.491,0,56206
257,Andhra Pradesh-4-39-10,119.5,2.4,965,77,43,180,466,0,850,4443.818,0,72872
258,Andhra Pradesh-4-39-2,39,0.8,570,33,12,60,162,0,1650,2285.143,0,75490
259,Andhra Pradesh-4-39-4,289,5.6,1872,144,98,420,678,0,11750,2022.346,0,74496
260,Andhra Pradesh-4-39-5,43,0.8,519,39,14,60,216.5,0,800,1722.753,0,101148
261,Andhra Pradesh-4-39-6,59,1.4,808.667,48,27,105,335,0,2300,2431.154,0,67734
262,Andhra Pradesh-4-39-7,290,5.6,1980.667,202,47,450,1486,0,810,4634.1,0,519137
263,Andhra Pradesh-4-39-8,40,0.8,357,24,5,71,186,0,800,3339.548,0,548028
264,Andhra Pradesh-4-39-9,154,3.2,1302,84,40,268,500,0,4980,3026.7,0,823370
265,Andhra Pradesh-4-40-1,61.56,0.81,264,4,21,60,160,0,4670,210,0,431
266,Andhra Pradesh-4-40-10,378.48,4.82,1507.333,0,11,449,1002.1,0,25162,1962,0,1240172
267,Andhra Pradesh-4-40-2,60.8,0.81,248,4,20,60,131,0,4570,210,0,431
268,Andhra Pradesh-4-40-4,121.6,1.61,503,0,4,165,216,0,1660,2317.5,0,512267
269,Andhra Pradesh-4-40-5,33.44,0.6,249.667,6,20.5,41.5,73.9,30,0,1273.934,0,23272
270,Andhra Pradesh-4-40-6,171,2,697,10,46,150,367.5,0,9816,525,0,12989
271,Andhra Pradesh-4-40-7,879.7,11.61,4522.999,0,29,1138.5,2138.25,59,41304,44853.615,0,2302822
272,Andhra Pradesh-4-40-8,215.8,2.82,850.667,0,7,287.5,460,0,12560,2192.5,0,546198
273,Andhra Pradesh-4-40-9,716.3,8.81,3146.999,0,22,894,1914,25,42894,3041.818,0,1598315
274,Andhra Pradesh-4-41-1,45,0.8,311.333,6,18,60,179,20,2500,2360.388,0,10863
275,Andhra Pradesh-4-41-10,353,5.2,1030.667,0,30,461,1166,40,7560,5324.277,0,768306
276,Andhra Pradesh-4-41-2,55,0.8,216.333,0,16,60,233,20,1000,1678.363,0,9650
277,Andhra Pradesh-4-41-3,109,2,355.667,0,43,150,434.7,40,2570,3722.74,0,50495
278,Andhra Pradesh-4-41-4,123,2,410.667,0,31,140,510,0,3900,2196.586,0,15474
279,Andhra Pradesh-4-41-5,53,0.8,211.333,0,9,60,155,0,1000,1647.297,0,6177
280,Andhra Pradesh-4-41-6,135,2,402.667,0,12,160,284,0,2500,2676.386,0,327725
281,Andhra Pradesh-4-41-7,285,4,760.667,2,75,300,721,41.25,6350,5104.939,0,20052
282,Andhra Pradesh-4-41-8,278,4,722,0,50,300,866,0,6000,5028.082,0,16584
283,Andhra Pradesh-4-41-9,853,12,2805,12,88,995,3089,0,16150,6758.024,0,2619172
284,Andhra Pradesh-4-42-1,42,0.8,402.667,0,6,60,232.5,0,4545,7755,0,76186
285,Andhra Pradesh-4-42-10,110,2,555,12,6,168,639,0,5210,4201.017,0,101377
286,Andhra Pradesh-4-42-3,41,0.8,344,0,4,78,146,0,1700,2759.776,0,47854
287,Andhra Pradesh-4-42-4,42,0.8,454,0,9,78,232.5,0,2100,2461.492,0,44519
288,Andhra Pradesh-4-42-5,63,1.2,408.667,0,4,108,402,0,3820,4756.4,0,66540
289,Andhra Pradesh-4-42-6,88,1.6,574,0,6,138,429,0,5500,3618.708,0,35559
290,Andhra Pradesh-4-42-7,390,7.2,1670.334,0,52,562,2273,0,20860,3852.607,0,107216
291,Andhra Pradesh-4-42-8,84,1.6,526.667,0,5,138,267.5,0,4930,1646.129,0,102007
292,Andhra Pradesh-4-42-9,391,7.2,1762.333,0,79,576,2060,0,26805,2670.964,0,201690
293,Andhra Pradesh-4-43-1,24,0.4,240.667,0,5.15,30,125,0,0,1881.892,0,159993
294,Andhra Pradesh-4-43-10,199.6,3.2,1263.167,0,46.5,260,1000,0,3880,9458.956,0,78440
295,Andhra Pradesh-4-43-2,23,0.4,274,0,5.15,30,125,0,250,3821.177,0,9010
296,Andhra Pradesh-4-43-3,12,0.2,81,2,2.5,15,62.2,0,250,1923.767,0,22574
297,Andhra Pradesh-4-43-4,70,1.2,725,0,15.65,93,368.8,0,1825,2739.884,0,32500
298,Andhra Pradesh-4-43-5,73,1.2,644.3,6,16,90,368.8,0,1825,1120,0,493700
299,Andhra Pradesh-4-43-6,199.6,1.8,844,0,27,155,520,0,1950,4062.222,0,165440
300,Andhra Pradesh-4-43-7,24.5,0.4,221.5,0,5.15,30,87,0,0,2875.971,0,15500
301,Andhra Pradesh-4-43-8,60.8,1,524.5,0,15.25,80,308,0,1150,8168.6,0,65300
302,Andhra Pradesh-4-43-9,50,0.8,414,0,12.75,70,250,0,1025,3237.037,0,105840
303,Andhra Pradesh-4-44-10,172.9,3.6,1227.333,0,33,325.2,1125,20,7150,6324.567,0,258535
304,Andhra Pradesh-4-44-3,72,1.2,790,0,10.2,105,375,15,2925,2323.741,200,1019635
305,Andhra Pradesh-4-44-5,43.8,1,627.333,0,17.7,75,312.2,0,2000,2257.802,100,246714
306,Andhra Pradesh-4-44-6,68.8,1,469,0,12.5,82,305,0,2265,3048.552,0,69086
307,Andhra Pradesh-4-44-7,116,2.4,1186,4,31.5,211,609,50,6230,1133.199,0,115644
308,Andhra Pradesh-4-44-8,440,8,3656.667,0,31.5,826,2389,100,17500,12018.616,0,2601607
309,Andhra Pradesh-4-44-9,221.2,3.2,1340.333,0,64.5,270,718,0,7200,1056,0,81358
310,Andhra Pradesh-4-45-10,179,3.2,1212.333,0,8,269.5,702.5,0,4060,820,0,1101338
311,Andhra Pradesh-4-45-2,30,0.4,369.666,12,4.5,30,113.5,0,680,726.106,0,38801
312,Andhra Pradesh-4-45-4,46.5,0.8,443.333,16,10,66,245.4,0,1320,1061.91,0,91566
313,Andhra Pradesh-4-45-5,75.4,1.4,558.334,10,13.5,113,280,0,1660,4606.945,0,71280
314,Andhra Pradesh-4-45-6,66,1.2,413,0,9,96,163,0,900,3822.703,0,81023
315,Andhra Pradesh-4-45-7,66,1.2,355,0,12,95,308,0,940,3860.635,0,83241
316,Andhra Pradesh-4-45-8,20.5,0.4,216,0,6,30,105.5,0,1270,1089.742,0,65113
317,Andhra Pradesh-4-45-9,21.5,0.4,256,5,1,36,132.9,0,830,2936.56,0,52964
318,Andhra Pradesh-5-46-1,52,0.8,220,0,13,60,182,0,630,1908.758,0,25744
319,Andhra Pradesh-5-46-10,129,2.4,925,0,7.65,224,516,0,1890,4785,0,1106545
320,Andhra Pradesh-5-46-3,115,2,865,0,48,150,425,20,2070,1796.564,0,41185
321,Andhra Pradesh-5-46-4,68,1.2,583,0,34.25,90,266.62,15,1035,3976.71,0,173048
322,Andhra Pradesh-5-46-5,88,1.6,625,0,37,120,340,20,1260,2831.848,0,67982
323,Andhra Pradesh-5-46-6,108,2,786,0,5.75,214,401.5,20,665,1020,0,1289880
324,Andhra Pradesh-5-46-7,140,3,1114,0,58,225,721,20,2835,2050,0,117190
325,Andhra Pradesh-5-46-8,78,1.4,597,0,27.75,105,349,20,980,2097.118,0,103190
326,Andhra Pradesh-5-46-9,204,3.6,1396,0,12,331,720,40,2625,3506.87,0,555933
327,Andhra Pradesh-5-47-10,154,2.8,1620.667,0,37,210,609,0,1075,466,0,53288
328,Andhra Pradesh-5-47-4,19.5,0.8,491.333,6,12,60,270.8,0,430,2393.333,0,83922
329,Andhra Pradesh-5-47-5,78,1.6,481.333,24,16,120,304,40,1540,1451.357,0,54575
330,Andhra Pradesh-5-47-6,50,0.8,538,0,8,60,132,0,385,2372.372,0,54884
331,Andhra Pradesh-5-47-7,68.8,1.6,933,0,20,120,422.8,0,815,1719.779,0,104874
332,Andhra Pradesh-5-47-9,260,4.4,1952,0,51,332,1164.4,0,3385,1573.476,400,205787
333,Andhra Pradesh-5-49-10,200,4.09,2787,0,2.5,438.5,1032.5,0,2940,3309.448,0,3501534
334,Andhra Pradesh-5-49-2,50,0.8,588,0,14.2,60,182,0,630,1583.4,0,97890
335,Andhra Pradesh-5-49-3,11,0.2,193,0,5.5,15,55,0,150,1473.203,0,84214
336,Andhra Pradesh-5-49-4,10,0.2,237,3,5,15,50.2,0,175,1631.803,0,65516
