DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Sum of Main Product (Rs.),By Product (Rs.),Ha-months in ground (Ha.),Crop Area (Ha.),Family Labour (Hrs.),Family Labour (Rs.),Attached Labour (Hrs.),Attached Labour (Rs.),Casual Labour (Hrs.), Casual Labour (Rs.),Hired Animal Labour (Hrs.),Hired Animal Labour (Rs.),Owned Animal Labour (Rs.),Owned Animal Labour (Hrs.),Hired Machine (Hrs.),Hired Machine (Rs.),Own Machine (Hrs.),Own Machine (Rs.),Seed Qty. (Kg.),Seed Value (Rs.),Fertiliser (N) (Kg.),Fertiliser (N) (Rs.),Fertiliser (P) (Kg.),Fertiliser (P) (Rs.),Fertiliser (K) (Kg.),Fertiliser (K) (Rs.),Other Fertiliser (Kg.),Other Fertiliser (Rs.),Total Fertiliser (Kg.), Total Fertiliser (Rs.),Manure (Qtl.),Manure (Rs.),Insecticides (Rs.),Own Irrigation Machine (Hrs.),Own Irrigation Machine (Rs.),Hired Irrigation Machine (Hrs.),Hired Irrigation Machine (Rs.),Other Irrigation Charges (Rs),Miscelaneous Cost (Rs.),Land Revenue (Rs.),Rent Paid for Leased in Land (Rs.),Imputed Rent (Rs.),Total Depreciation (Rs.), Total Capital (Rs.),Sample No. of Growers in size group,Total Number of Growers in size group,Cluster Factor/Weight,Area of all selected crops in Village (Ha.),No. of Villages in Tehsil,Area of Crop in Zone (Ha.),Production of Crop in Zone (Qtl.),Sum of No. of Tehsils in Zone,Sum of Sample Tehsils in Zone,Sum of Area of all selected crops in Zone (Ha.),Sum of Interest on working capital rate(%),Sum of Interest on fixed capital rate(%),Sum of Minimum Rent (%age of GVO),Sum of Maximum Rent (%age of GVO),Sum of Sample Zone in State,Sum of Sample Clusters in State,Sum of Tenure,Sum of Variety,Sum of Size Group
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,1904,13188,7253330,227122140,189,119,14000987,87.5,70,0,245,35,315,7,350,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,348,174,544,3768,2072380,64892040,54,34,4000282,25,20,0,70,10,90,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,60,20.001,816,5652,3108570,97338060,81,51,6000423,37.5,30,0,105,15,135,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,60,20.001,816,5652,3108570,97338060,81,51,6000423,37.5,30,0,105,15,135,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,100,33.335,1360,9420,5180950,162230100,135,85,10000705,62.5,50,0,175,25,225,5,250,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,68,17,1088,7536,4144760,129784080,108,68,8000564,50,40,0,140,20,180,4,200,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,85,21.25,1360,9420,5180950,162230100,135,85,10000705,62.5,50,0,175,25,225,5,250,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,85,21.25,1360,9420,5180950,162230100,135,85,10000705,62.5,50,0,175,25,225,5,250,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,85,21.25,1360,9420,5180950,162230100,135,85,10000705,62.5,50,0,175,25,225,5,250,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,370,185,1092,1196,2072380,64892040,54,34,4000282,25,20,0,70,10,90,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,3276,3588,6217140,194676120,162,102,12000846,75,60,0,210,30,270,6,300,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,370,185,1092,1196,2072380,64892040,54,34,4000282,25,20,0,70,10,90,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,136,45.332,2184,2392,4144760,129784080,108,68,8000564,50,40,0,140,20,180,4,200,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,136,45.332,2184,2392,4144760,129784080,108,68,8000564,50,40,0,140,20,180,4,200,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,136,45.332,2184,2392,4144760,129784080,108,68,8000564,50,40,0,140,20,180,4,200,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,54,18,3276,3588,6217140,194676120,162,102,12000846,75,60,0,210,30,270,6,300,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,9,1638,1794,3108570,97338060,81,51,6000423,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,54,18,3276,3588,6217140,194676120,162,102,12000846,75,60,0,210,30,270,6,300,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,4368,4784,8289520,259568160,216,136,16001128,100,80,0,280,40,360,8,400,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,139,69.5,337,286,305282,8301950,15,5,839397,12.5,10,0,35,5,45,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,6,1348,1144,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,139,69.5,337,286,305282,8301950,15,5,839397,12.5,10,0,35,5,45,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,74,24.666,674,572,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,74,24.666,674,572,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,111,36.999,1011,858,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,104,34.668,1348,1144,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,104,34.668,1348,1144,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,104,34.668,1348,1144,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,6,1348,1144,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,98,49,456,253,305282,8301950,15,5,839397,12.5,10,0,35,5,45,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,1824,1012,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,196,98,912,506,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,162,54,912,506,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,162,54,912,506,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,162,54,912,506,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,81,20.25,1368,759,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,81,20.25,1368,759,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,81,20.25,1368,759,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,81,20.25,1368,759,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,10.5,1806,414,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,122,61,1204,276,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,183,91.5,1806,414,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80,40,1204,276,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,120,60,1806,414,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,9,1806,414,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,6,1204,276,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,10.5,1806,414,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,258,129,670,844,610564,16603900,30,10,1678794,25,20,0,70,10,90,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,12,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,210,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,129,64.5,335,422,305282,8301950,15,5,839397,12.5,10,0,35,5,45,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,228,114,1005,1266,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,304,152,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,200,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,92,23,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,210,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,92,23,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,210,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,92,23,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,210,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,69,17.25,1005,1266,915846,24905850,45,15,2518191,37.5,30,0,105,15,135,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,12,1340,1688,1221128,33207800,60,20,3357588,50,40,0,140,20,180,4,210,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64,32,827,196,1099894,12065840,64,6,1169876,25,20,33.34,50,4,30,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,100,50,2067.5,490,2749735,30164600,160,15,2924690,62.5,50,83.35,125,10,75,5,210,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,16,413.5,98,549947,6032920,32,3,584938,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,72,36,1240.5,294,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,150,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,48,24,827,196,1099894,12065840,64,6,1169876,25,20,33.34,50,4,30,2,60,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,220,110,1654,392,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,160,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,220,110,1654,392,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,160,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,136,68,1654,392,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,160,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,136,68,1654,392,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,160,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,120,60,2481,588,3299682,36197520,192,18,3509628,75,60,100.02,150,12,90,6,260,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,370,185,789.8,260,1099894,12065840,64,6,1169876,25,20,33.34,50,4,30,2,120,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,15,2369.4,780,3299682,36197520,192,18,3509628,75,60,100.02,150,12,90,6,260,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,370,185,789.8,260,1099894,12065840,64,6,1169876,25,20,33.34,50,4,30,2,100,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,218,109,789.8,260,1099894,12065840,64,6,1169876,25,20,33.34,50,4,30,2,120,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,327,163.5,1184.7,390,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,110,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,228,114,1184.7,390,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,170,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,304,152,1579.6,520,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,210,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,80,40,1579.6,520,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,220,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,80,40,1579.6,520,2199788,24131680,128,12,2339752,50,40,66.68,100,8,60,4,220,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,15,2369.4,780,3299682,36197520,192,18,3509628,75,60,100.02,150,12,90,6,320,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,747,373.5,908.82,228,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,180,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,28,14,2120.58,532,3849629,42230440,224,21,4094566,87.5,70,116.69,175,14,105,7,370,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,249,124.5,302.94,76,549947,6032920,32,3,584938,12.5,10,16.67,25,2,15,1,60,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,183,91.5,908.82,228,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,170,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,183,91.5,908.82,228,1649841,18098760,96,9,1754814,37.5,30,50.01,75,6,45,3,160,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,175,87.5,1514.7,380,2749735,30164600,160,15,2924690,62.5,50,83.35,125,10,75,5,280,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,210,105,1817.64,456,3299682,36197520,192,18,3509628,75,60,100.02,150,12,90,6,340,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,1514.7,380,2749735,30164600,160,15,2924690,62.5,50,83.35,125,10,75,5,260,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,1514.7,380,2749735,30164600,160,15,2924690,62.5,50,83.35,125,10,75,5,280,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,12,1817.64,456,3299682,36197520,192,18,3509628,75,60,100.02,150,12,90,6,320,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,60,251.11,230,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,12,1506.66,1380,18752442,246385392,552,72,21228588,75,60,100.02,150,12,90,6,300,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,60,251.11,230,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,64,502.22,460,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64,32,251.11,230,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48,24,753.33,690,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,16,502.22,460,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,12,1004.44,920,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,12,1004.44,920,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,8,1004.44,920,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,156,78,243.76,173,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,1218.8,865,15627035,205321160,460,60,17690490,62.5,50,83.35,125,10,75,5,130,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,156,78,243.76,173,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,29,243.76,173,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,116,58,487.52,346,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,80,40,975.04,692,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,60,30,731.28,519,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,731.28,519,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,975.04,692,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,1218.8,865,15627035,205321160,460,60,17690490,62.5,50,83.35,125,10,75,5,250,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,299,149.5,204.74,139,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,614.22,417,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,299,149.5,204.74,139,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,19,204.74,139,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,19,204.74,139,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,9,409.48,278,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,9,409.48,278,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4.5,614.22,417,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4.5,614.22,417,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,818.96,556,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,187,93.5,166.82,138,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,667.28,552,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,187,93.5,166.82,138,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,14,166.82,138,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,14,166.82,138,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,8,333.64,276,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,8,333.64,276,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,6,500.46,414,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,8,667.28,552,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,667.28,552,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,200,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,30.5,156.56,270,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,782.8,1350,15627035,205321160,460,60,17690490,62.5,50,83.35,125,10,75,5,250,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,30.5,156.56,270,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,5.5,156.56,270,3125407,41064232,92,12,3538098,12.5,10,16.67,25,2,15,1,50,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,11,313.12,540,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,12,313.12,540,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,12,313.12,540,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4.5,469.68,810,9376221,123192696,276,36,10614294,37.5,30,50.01,75,6,45,3,150,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,313.12,540,6250814,82128464,184,24,7076196,25,20,33.34,50,4,30,2,100,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,8,626.24,1080,12501628,164256928,368,48,14152392,50,40,66.68,100,8,60,4,210,20
