DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Sum of Main Product (Rs.),By Product (Rs.),Ha-months in ground (Ha.),Crop Area (Ha.),Family Labour (Hrs.),Family Labour (Rs.),Attached Labour (Hrs.),Attached Labour (Rs.),Casual Labour (Hrs.), Casual Labour (Rs.),Hired Animal Labour (Hrs.),Hired Animal Labour (Rs.),Owned Animal Labour (Rs.),Owned Animal Labour (Hrs.),Hired Machine (Hrs.),Hired Machine (Rs.),Own Machine (Hrs.),Own Machine (Rs.),Seed Qty. (Kg.),Seed Value (Rs.),Fertiliser (N) (Kg.),Fertiliser (N) (Rs.),Fertiliser (P) (Kg.),Fertiliser (P) (Rs.),Fertiliser (K) (Kg.),Fertiliser (K) (Rs.),Other Fertiliser (Kg.),Other Fertiliser (Rs.),Total Fertiliser (Kg.), Total Fertiliser (Rs.),Manure (Qtl.),Manure (Rs.),Insecticides (Rs.),Own Irrigation Machine (Hrs.),Own Irrigation Machine (Rs.),Hired Irrigation Machine (Hrs.),Hired Irrigation Machine (Rs.),Other Irrigation Charges (Rs),Miscelaneous Cost (Rs.),Land Revenue (Rs.),Rent Paid for Leased in Land (Rs.),Imputed Rent (Rs.),Total Depreciation (Rs.), Total Capital (Rs.),Sample No. of Growers in size group,Total Number of Growers in size group,Cluster Factor/Weight,Area of all selected crops in Village (Ha.),No. of Villages in Tehsil,Area of Crop in Zone (Ha.),Production of Crop in Zone (Qtl.),Sum of No. of Tehsils in Zone,Sum of Sample Tehsils in Zone,Sum of Area of all selected crops in Zone (Ha.),Sum of Interest on working capital rate(%),Sum of Interest on fixed capital rate(%),Sum of Minimum Rent (%age of GVO),Sum of Maximum Rent (%age of GVO),Sum of Sample Zone in State,Sum of Sample Clusters in State,Sum of Tenure,Sum of Variety,Sum of Size Group
Assam-6,1077.01,36.62,1078833,63224,17464.999,605818.804,0,0,6670,210935,0,0,342624.419,6365,432,141400,192,27366.221,2330,36258,674.36,10262,0,0,0,0,0,0,674.36,10262,115.63,10368.4,0,0,0,0,0,0,0,2543.5,0,278089.75,39991.232,2108105.569,101,2297,819.508,9846,41598,5311236,55769280,210,84,6279378,525,420,0,1050,252,1890,42,420,108,146.48,2
Bihar-1,7474.38,240.17,8661811.75,1718194.3,41520,1095905.185,1696,47770.88,104573.341,2820268,0,0,0,0,1014.43,782447.5,426.55,39859.503,11439.5,413017,13143.72,261799.419,9204.67,457037.867,2188.6,51598.718,0,0,24536.99,770436,207.9,20790,0,4340.2,210175.473,4835.85,509534,0,0,15316.921,0,2584619.76,383241.693,46095798,1190,17773,6325.078,136330,192503,394275175,4563174300,11455,4740,765151735,4937.5,3950,0,13825,1975,17775,395,20060,1091,965.73,15
Bihar-2,4179.73,143.01,4920313,1295842,31052.336,810543.133,0,0,47403.662,1252000,0,0,2670.118,38,674.916,496002,92.35,6957.25,6875.7,250335,10241.56,220498.756,4334.58,206193.251,376.8,10270,0,0,14952.94,406961.999,30,4500,0,2096,123243.802,2434.5,254915,0,0,11620.668,0,1971747.899,264985,10319599,624,8056,3598.92,104373,98404,158937380,3146248350,4410,1960,309155945,3062.5,2450,0,8575,1225,11025,245,12250,753,572.04,2
Bihar-3,925.21,27.02,1106664,211326,5074.999,143767.491,0,0,10499.33,301170,0,0,7040,44,127.3,83504.5,83.55,11203.55,1205,38405,1089.54,20424.191,700.12,32115.809,0,0,0,0,1789.66,52540,33,1650,0,157,9420,436,46120,0,0,683.483,0,198861.159,21545,4838645,174,2313,811.499,17440,29397,12929509,152641060,371,159,30596264,662.5,530,0,1855,265,2385,53,2650,131,108.08,4
Bihar-4,10536.42,310.27,12307583,2362819.5,60045.994,1619360.805,2167,52246.6,107235.989,2928200,0,0,0,0,1811.02,1298471,426.05,44374.739,12462,629910.5,26984.66,495719.341,12300.4,587550.651,3739.2,110190,13.5,1080,43037.76,1194540.001,46,4600,20730,5170.5,278315.33,4183.4,439155,12081.45,0,19837.184,0,3754066.449,564005.25,40776409.5,1238,18329,7729.917,188640,306612,503588340,15768765720,13122,8262,972068526,6075,4860,0,17010,2430,21870,486,25020,1416,1295.93,4
Bihar-5,2116.74,80.55,2603189,423500,10738.667,275225.47,0,0,31918.677,820520,0,0,17280,108,332.9,220640,95.5,11538.48,3891,128630,4465.76,79430.867,1926.94,88845.133,0,0,0,0,6392.7,168276,435,42500,0,929,40125.095,504,53880,4640,0,4822.976,0,715789.074,127614,6429091,291,3870,1593.585,44870,31443,32970456,896610600,1620,540,90654876,1350,1080,0,3780,540,4860,108,5450,320,329.6,6
Chhattisgarh-1,3145,94.69,4139084,962090,23363.331,691065.308,0,0,18999.006,601735,90.5,4525,418125,3345,959,505350,123.5,17447.878,5778,169910,4778.44,69468.148,1829.64,85600.929,401.92,10847.927,0,0,7010,165917,678,101700,28110,6,330,0,0,0,15622,679.85,0,1059039.247,171607,4138465,230,5004,2502,42018.26,11454,63243905,693785800,3680,345,67267870,1437.5,1150,1917.05,2875,230,1725,115,5740,405,397.58,6
Chhattisgarh-2,12826.3,360.24,16642327,811410,57391.834,1632683.378,700,18704,90521.989,2701636,3474.25,159099,216289.418,2373.5,3395.1,2631525,729.3,184507.08,29328,559463,29721.4,452858.907,17119.5,778419.971,1611,44930.171,80.25,11090,48532.15,1287299,1787,245325,468233,4874,147630.399,434,36300,27582.2,90325,1175.586,0,3909682.343,561360.572,26931488,609,11140,5613,112042.26,51826,953249135,12524590760,28060,3660,1079119890,3812.5,3050,5084.35,7625,610,4575,305,15170,1131,1565.19,12
Gujarat-1,3523.1,76.59,4849555,1588940,2226.004,61573.857,0,0,98187.994,1759730,0,0,0,0,89.75,86375,159,39432,0,547560,3149.7,88451.372,2552.3,124928.165,1447.5,38079.458,0,0,7149.5,251459,1680,84000,18295,582,33048.831,0,0,14205,0,214.083,0,1073297.119,177830.846,25453185,212,4516,2258,36095.37,7706,22125698,520212066,1484,212,29938110,1325,1060,1767.02,1767.02,848,6360,106,5440,392,274.11,8
Gujarat-2,120,2.37,168000,0,133,3581.69,0,0,954.333,17090,0,0,0,0,3,9540,36,8371.463,0,14400,306,7747.853,120,7024.147,0,0,48,5100,474,19872,0,0,1800,120,9600,0,0,1181,0,61.917,0,28005.6,159.17,273000,1,3,3,40.29,59,82433,1705161,18,2,402666,12.5,10,16.67,16.67,8,60,1,50,5,7.11,15
Gujarat-3,2056.35,77.97,2909955,568385,25201.001,685979.591,0,0,30903.674,777235,19,1260,68390.909,733,542.4,329451,347.3,65321.088,0,209279,8430.47,125064.452,1554.72,73442.348,0,0,50.33,1397,10035.52,199903.8,1719.5,98065,42820,1854,60927.226,196,19390,34964,0,523.434,5250,567246.759,146138.658,25802543.09,597,8327,3460.3,128230.11,17557,34695000,464081850,7650,1800,229282425,2812.5,2250,3750.75,3750.75,1800,13500,345,9180,732,270.12,1
Gujarat-4,7348.8,169.106,11222304,1600673,29850.329,875664.101,5791,161510.99,90021.335,2710407,0,0,2191,23,903.95,711760,2154.79,254605.379,0,566831,21609.36,333585.657,8175.62,371058.534,28,724.812,994,43635,30806.98,749004,0,0,238254,4884,314799.103,840,67926,85104,3608,1460.377,195465,1904667.915,373693.101,105281748,650,22196,11184,412036.58,16714,71406009,1694210871,18639,4251,466149618,4087.5,3270,5451.09,5451.09,2616,19620,1137,16070,1187,572.818,15
Gujarat-5,3930.6,64.36,6017687,746660,6543.001,196813.439,0,0,19233.33,582810,0,0,0,0,427.14,541640,454.1,74832.4,0,369847,12792.1,206573.164,4223.2,189775.842,0,0,1818,107383,18833.3,503732.001,1460,91150,128524,6278,321520.042,258,16900,38230,6103,785.16,601560,771518.937,25701.96,14327915,108,3504,1752,76881.96,3618,6519582,155910042,486,162,27498582,675,540,900.18,900.18,432,3240,534,1510,188,246.4,1
Gujarat-8,534,9.36,795010,119400,1586.666,45616.668,0,0,929.333,26820,0,0,0,0,68.15,66950,55.3,8739.241,0,18940,930.9,14145.793,333.5,15490.208,0,0,125,4375,1389.4,34011,72,8640,14910,352.25,23275.656,88,9680,4650,0,23.054,21675,100105.018,2663.497,416586,12,315,179,4816.56,245,2100,44716,196,63,8262576,87.5,70,116.69,116.69,56,420,97,110,21,35.04,4
Haryana-1,783.8,17.8,1654980,46200,2171.415,118369.02,0,0,6744,329950,0,0,0,0,6,2300,211.3,27623.543,0,45600,2382.18,34535.724,1023.5,44712.277,0,0,0,0,3405.68,79248,0,0,1560,910,59120.02,0,0,2125,0,0,0,489744.757,4529.95,3096594,17,285,199,7342.3,1025,300,6700,130,50,12750,125,100,0,333.3,30,300,10,500,36,71.4,4
Haryana-2,5675.8,111.4,11797124,164000,20008.749,936867.334,330.25,17807.08,26991.331,1195419,0,0,785.685,9,502,299940,1176,206690.576,0,159760,18443.68,255319.785,6413.78,275481.208,0,0,1076,32470,25933.46,563271,0,0,205315,15051,778427.898,58,3200,12948,0,0,0,3305067.973,118073.48,18714608.63,112,1550,910,39571.1,3125,29795,913910,1947,767,154993,737.5,590,0,1966.47,177,1770,59,2605,197,445.5,6
Haryana-3,18168.872,320,31764013,548200,54014.464,2430450.459,9724,433433.657,81801.468,3648422,0,0,0,0,1983.7,1297794,2963.5,522572.066,0,362286,44791.315,600527.234,15278.42,625725.238,8,81.59,7889,265970,67966.735,1492304.062,120,2400,896925,79215,1254569.438,15,0,4212,60083,0,75000,10416551.12,215694.739,40463073.96,251,6040,3049.5,107903.44,9279,108077,3602990,4064,1524,251968,1587.5,1270,0,4232.91,381,3810,157,5132,402,1240.25,6
Himachal Pradesh-1,0.5,0.04,750,375,17.5,690.025,0,0,0,0,0,0,192,4,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,3,300,0,0,0,0,0,0,0,0.404,0,281.25,606.227,17556,1,3,3,149.68,80,1119,15869,16,2,37577,12.5,10,0,25,3,30,1,10,2,0.16,12
Himachal Pradesh-2,857.42,33.41,1278142,391510,10181.915,511766.58,0,0,2138,72615,43.5,2813,29992,762,120.19,68899,162.45,13609.782,1096,60485,827.4,11287.714,226.56,9981.608,113.28,2753.546,60.505,4810,1227.745,28832.87,105.5,7260,26793.5,286,19530.142,90,225,0,0,235.844,80000,274119.931,82435.679,6704147.776,459,10562,2215.429,20328.66,26074,6470400,89562912,5760,2112,53079264,1200,960,0,2400,288,2880,186,4510,158,129.58,12
Himachal Pradesh-3,499.5,14.48,928680,223500,6515.568,394356.818,0,0,1643.667,93011,134,13400,29988.5,756,0,0,41.25,4125,1069,31980,1019.28,13873.237,209.6,9855.898,104.8,2718.868,0,0,1333.68,26448,308,15400,4310,50,2500,0,0,0,0,131.652,0,246118.991,22085.397,2387405.224,68,606,228.998,4966.2,6604,183366,2828484,684,108,2668212,225,180,0,450,54,540,18,570,44,52.6,15
Jharkhand-1,5440.77,208.37,6431274.25,1639893.5,49297.332,1226158.035,376,7027.44,81372,2037345,160,7000,551506.437,6542,816.785,554962,107.6,45570.013,9413,440311,11206.06,224465.486,5721.12,279149.691,179.68,5932.829,0,0,17106.86,509548,1262,89300,0,206,12360,0,0,0,0,13650.605,0,2283183.82,593427.473,15469168.18,1493,19558,7725.489,82014,496045,721194474,2164324008,13398,6006,953002512,5775,4620,0,16170,924,6930,462,23840,1210,860.61,2
Jharkhand-2,822.75,23.6,1109987,309750,6132,113809.92,0,0,7572.665,142070,0,0,12000,120,132,92400,0,0,1180,70800,1497.6,28386.259,1076.4,49233.741,0,0,0,0,2574,77620,330.5,32750,0,0,0,0,0,0,0,2505.935,87800,426500.214,29933,382277,66,1086,543,11055,19866,3891789,10011573,264,66,8897724,412.5,330,0,1155,66,495,123,1650,107,94.4,15
Karnataka-2,1843.2,18.87,3283950,53500,3515.833,101909.077,0,0,5891.996,165810,6,775,10050,67,272,132630,49,7461.74,1640,68880,2687,53994.206,908,56695.796,300,10500,0,0,3895,121190,0,0,31788,656,6636.444,0,0,0,3300,154.683,0,668751.5,3759.584,485431,10,149,108,20611,1428,968416,38365760,88,48,10975032,100,80,160,200,72,360,8,320,31,76.18,2
Karnataka-3,718.2,9.76,1358176,25022.5,1894.333,56598.449,0,0,4964.599,150948,0,0,0,0,355,149537,136,2629.5,1280,59600,1700,31009.096,1563,73659.154,856,22861.746,0,0,4119,127530,230,13200,85070,1072,10027.013,0,0,1373,0,54.005,0,313479.7,6000.636,394731,4,106,106,4048,266,798892,26678480,140,72,14407076,50,40,80,100,36,180,4,40,15,39.04,4
Karnataka-4,48,0.8,83200,37040,444.497,15957.432,0,0,660,20600,20,1750,0,0,10,2600,76,4810.126,32,2000,81.5,1688.211,62,3584.62,39,1377.169,0,0,182.5,6650,30,5000,740,114,1544.901,0,0,0,0,11.16,0,24048,1238.64,236050,4,14,7,3148,488,132372,5898300,34,8,2104404,25,20,40,50,18,90,2,110,6,3.2,4
Karnataka-5,5,0.05,6200,600,53.67,1779.161,0,0,18,675,0,0,0,0,0,0,0,0,2.5,125,2.55,31.515,2.55,63.468,2.55,35.017,0,0,7.65,130,5,600,0,19,472.769,0,0,0,0,3.2,0,1700,701.125,23176,1,1,1,1575,244,10280,475950,24,2,478209,12.5,10,20,25,9,45,1,50,1,0.2,6
Karnataka-6,882,15.71,1541157,350822,3086,97500.438,0,0,4818.344,152528.4,142,10650,3404.21,39,62,30662,0,0,1106,27878,726.55,16522.202,589.15,31704.913,275.75,7510.886,0,0,1591.45,55738,133,9100,7837.9,276,14377.241,0,0,0,0,645.777,0,389379.5,7464,461619.473,25,746,442.5,17766,2616,2083830,79149280,266,42,8766184,175,140,280,350,126,630,14,700,50,71.96,9
Karnataka-7,1147.25,22,2146135,191950,1809,51459.84,0,0,8008.665,236289,104,8250,7886.56,160,142.55,55890,4,1760,1080,73780,1933.58,52932.581,1632.28,93631.16,386.28,13221.259,20,730,3972.14,160514.999,55,9900,38674,102,1427.981,0,0,0,0,82.97,0,491873.499,30944,647132,53,1095,605,36222,4590,3944052,139382040,364,56,13666968,350,280,560,700,252,1260,28,1351,97,101.24,12
Karnataka-9,464,25.69,742700,132500,5707.659,188112.749,0,0,7737.665,215570,128,12950,193994.221,1383,103,46200,25,11000,1945,38855,1091,21881.916,1172,56565.853,259,5357.233,0,0,2522,83805.001,660,132000,21350,416,6279.887,78,15000,0,300,378.758,0,189759.869,36019.481,3086082.703,56,2485,1211.082,23746,5675,5432968,132069220,506,69,8264337,287.5,230,460,575,207,1035,23,710,61,114.14,8
Kerala-1,3885.8,73.49,8633116.5,245080,494.667,45318.126,0,0,21366.332,1903877.25,78,19500,0,0,645.95,737742,0,0,8732,329904,6511.001,158826.8,3761.326,242370.304,4305.85,115998.696,3367.75,40049,17945.927,557244.804,67.75,48878,251332,0,0,0,0,24750,809,22908.588,0,1775639.305,42095.167,874473.5,182,2882,1489.5,65151.17,1195,2730674,96984918,962,370,10841000,925,740,1480,1480,222,2220,74,3220,216,338.86,20
Kerala-2,5397.08,120.31,11790906,1322185,5777.828,523318.109,0,0,38360.795,3251228,0,0,0,0,1483.45,1317356,0,0,12104.2,379515,7008.697,148821.242,2913.257,180432.938,5042.165,136169.416,556.5,12082,15520.619,477505.1,1212.65,346302.875,172483,0,0,167.5,32700,27410,990,28215.507,0,2622618.2,115364.209,822509.5,1030,17909,5542.197,243314,7634,18830070,551835720,9180,4860,142186590,3375,2700,5400,5400,810,8100,270,8740,546,495.071,1
Kerala-3,4315.39,106.94,9259295,626217,2975.668,203608.259,0,0,41394.837,2199305,0,0,0,0,1348.9,1065923,172.5,27060,10234,301152,8829.05,171838.655,3151.7,187232.555,4218.3,83397.293,0,0,16199.05,442468.498,528.2,128350,69164,0,0,0,0,0,40,21579.169,0,1977102.403,160526,4590812.25,242,5495,2147,112170,2607,7833020,219571404,1504,658,21262706,1175,940,1880,1880,282,2820,94,4300,275,493.18,5
Madhya Pradesh-1,1127,31.13,1529100,171400,6142.667,165237.73,0,0,8258.006,220980,606,34075,54902.549,519,230.25,143012,143,50050,1475,29430,1920.8,29058.512,1281,59885.605,736,20845.887,22.5,3500,3960.3,113290,362,53050,57310,568,27698.608,228,20240,4134,9525,218.276,0,386601.665,46151,2511975,38,763,381.5,5764.98,1520,5055900,127004208,209,19,6646276,237.5,190,316.73,475,209,855,19,950,70,123.54,1
Madhya Pradesh-2,754.5,24.17,997785,133800,7366,184728.08,0,0,5118,134930,176,7513,12060,444,156.4,92657,82,14546.489,1031,41982,2091.92,31088.583,970.6,44531.421,0,0,0,0,3062.52,75620,115,16400,0,0,0,0,0,0,968,75.756,0,228070.608,47052,2474792,46,1109,574,6121.02,5316,11796000,300541680,672,48,31314720,300,240,400.08,600,264,1080,24,1260,74,116.83,2
Madhya Pradesh-3,4323.2,115.26,5691920,577971,17476.833,488979.336,1389,38649.41,24613.999,695418,61,3401,82501.632,677,949.6,662492,432.25,135463.5,9271,303275,7263.5,108369.167,3671.9,164084.83,0,0,295,20552,11230.4,292986,601,101915,188143,784,21491.112,22,1100,225,14667.4,1377.979,0,1189442.324,262683,15590717,180,5136,2680.5,73124.66,20997,63259200,1232443224,5336,552,258831880,1150,920,1533.64,2300,1012,4140,92,4770,326,415.82,2
Madhya Pradesh-4,588,16.5,997880,122100,3556.001,91129.475,0,0,3518.331,104220,0,0,22693.288,211,202.85,126180,55.25,19337.5,861,28590,1525.2,23147.049,653.2,29968.951,0,0,0,0,2178.4,53116,86,11180,36130,0,0,0,0,0,9136,36.747,0,186700.663,57469,1185659,24,327,267.5,13170.99,2860,3201000,97159650,705,120,57083190,187.5,150,250.05,375,165,675,15,547,52,59.1,3
Madhya Pradesh-5,1257.5,35.83,1944835,55050,5801.999,170620.581,2203,64919.79,9615.664,284645,0,0,0,0,152.1,145800,388,121230.724,939,37670,2380.9,36450.544,2056.5,89085.894,155,3624.565,8,485,4600.4,129646,298,59600,53181,2469,74184.852,81,7290,0,15271,123.553,0,494130.385,60450,11691430,67,3020,1523.5,83900.7,5015,5040000,212868495,665,105,46413850,437.5,350,583.45,875,385,1575,35,996,129,148.48,3
Madhya Pradesh-8,42.2,1.61,58184,12160,442,12025.708,0,0,281,7919,0,0,6134.574,114,0,0,8.5,1735.294,170,6560,165,2427.671,77,3458.329,0,0,0,0,242,5886,0,0,3030,0,0,0,0,0,0,2.248,0,14945.166,9492,342481,3,17,17,1879.44,464,218100,5674821,63,6,3926190,37.5,30,50.01,75,33,135,3,150,11,7.65,4
Maharashtra-1,238.3,5.81,333620,116450,4485.667,129725.479,123,3557.16,9100.334,261746,629,40450,80301,910,27,6900,4,400,250.5,14241,460.92,5916,0,0,0,0,0,0,460.92,5916,715.75,116200,0,0,0,0,0,0,16600,98.1,0,75026.669,35756.656,1809057.353,68,2492,1246,5848,2822,5138918.304,134704064.5,612,34,6035918,425,340,566.78,566.78,306,2040,34,1810,103,25.97,4
Maharashtra-2,184.5,7.33,249075,17125,5147.266,130225.844,0,0,4930,77660,0,0,64187,735,23.5,23100,16.5,1650,470,8841,61.18,979,0,0,0,0,0,0,61.18,979,648,64800,0,0,0,0,0,0,15424,55.6,0,44371.4,10162.844,1812599.548,44,581,290.5,2992,3058,5372972,136811389,726,22,5677782,275,220,366.74,366.74,198,1320,22,380,79,34.46,1
Maharashtra-3,606.8,17.68,1209558,185150,6738.503,258286.72,0,0,7003.336,262526,0,0,50363.102,628,152.25,130050,209.5,66171.545,583,40665,2399.4,39630.95,1219.94,59299.317,171,4899.73,160,4450,3950.34,108280,210,33000,4330,408,19541.34,0,0,1000,5890,288.3,0,232497.827,100166.372,13013383,120,2539,1269.5,28140,11220,2643471.12,64505985,240,60,3817680,750,600,1000.2,1000.2,540,3600,60,3060,220,90.5,5
Maharashtra-4,447.6,12.62,679050,168000,3313.699,82040.791,88,2635.6,7382.334,182803,67,3762,31187,365,179.95,120520,36,8715.707,510,37133,2631.3,42507.273,1044.2,51561.481,43,1328.249,0,0,3718.5,95397,140,21000,575,314,15248.911,0,0,0,81775,280.679,0,141203.237,34632.735,4177750,87,1644,835,16365,4440,7348446.585,152112015,765,90,22271310,562.5,450,750.15,750.15,405,2700,45,2250,157,63.1,1
Maharashtra-5,105.2,2.63,177440,27470,1205.001,40451.85,48,1611.36,1675.668,60502,73.5,6720,510,6,106.5,52950,15,1500,308,24680,261,12378.312,163.1,8650.303,191.1,5561.383,32,2000,647.2,28590,49,9000,0,0,0,0,0,0,0,43.19,0,34158.497,9378.61,319649.016,20,318,270,14676,1596,1331329.224,21550209,216,24,10475412,150,120,200.04,200.04,108,720,12,600,31,10.66,4
Maharashtra-6,4,0.15,8000,600,132.667,4007.86,0,0,85.333,2400,0,0,188,2,0,0,6,600,10,800,23,300,0,0,0,0,0,0,23,300,25,3750,0,4,218.282,0,0,0,0,7.02,0,1433.62,2768.27,693257,1,1,1,359,104,13068,185688,69,16,5450644,12.5,10,16.67,16.67,9,60,1,60,4,0.6,2
Maharashtra-8,95,3.55,209000,34500,462,15684.9,318,10796.101,1762,62850,23,1650,15135.12,162,22,14000,0,0,165,3960,280,4679.869,97,5205.5,49,1384.63,0,0,426,11270,0,0,7600,288,12858.569,0,0,0,0,40.114,0,40591.45,4582.73,578525,3,15,15,1440,312,245046,334044,192,36,11737416,37.5,30,50.01,50.01,27,180,3,150,10,17.75,3
