DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
1932,Jharkhand-1-8-2,10.4,0.4,245,0,2.2,20,22.92,0,0,0,31528
1933,Jharkhand-1-8-3,31.4,1.2,783.332,0,6.25,60,70.88,0,0,0,85968
1934,Jharkhand-1-8-4,26.35,1,730.999,0,5.49,47.5,60.64,0,0,0,81201
1935,Jharkhand-1-8-5,37.25,1.4,1122.666,0,7.65,70,78.2,0,0,0,75448
1936,Jharkhand-1-8-6,26.75,1,790,0,6.16,50,56.94,0,0,0,83672
1937,Jharkhand-1-8-7,69,2.6,1841.667,0,14.25,130,153.86,0,0,0,81852
1938,Jharkhand-1-8-8,72.15,2.8,1881.667,0,15.4,140,166.42,0,0,0,112146
1939,Jharkhand-1-8-9,52.75,2,1370.33,0,10.95,100,118.1,0,0,0,48685
1940,Jharkhand-1-9-1,10,0.2,209.33,18,0,3,14.88,0,0,0,248814
1941,Jharkhand-1-9-10,153.5,2.93,2156.665,0,8.25,57,204.6,0,0,0,741510
1942,Jharkhand-1-9-2,19,0.41,379.334,44,1,8,25.44,0,0,0,322792
1943,Jharkhand-1-9-3,35,0.81,541.334,0,2.5,15,44.08,0,0,0,369004
1944,Jharkhand-1-9-4,61,1.2,861.332,0,4,23,81.28,0,0,0,29920
1945,Jharkhand-1-9-5,73.5,1.37,1158.667,0,3.5,27,96.72,0,0,0,334068
1946,Jharkhand-1-9-6,77,1.47,1181.334,0,3.5,29,100.12,0,0,0,263180
1947,Jharkhand-1-9-7,79,1.46,1145,0,4,28,99.2,0,0,0,304272
1948,Jharkhand-1-9-8,127.5,2.3,2054,36,6.5,47,171.76,0,0,0,493210
1949,Jharkhand-1-9-9,148.5,2.76,2339.334,0,8,54,190.96,0,0,0,289386
1950,Jharkhand-2-15-1,26,0.8,414,80,0,40,66,11,0,0,52614
1951,Jharkhand-2-15-10,130.5,4,2250.334,0,22,200,440,46,0,0,17176
1952,Jharkhand-2-15-2,24.25,0.8,404.667,0,4,40,88,16,0,0,2940
1953,Jharkhand-2-15-3,68.75,1.8,1009.997,0,10,90,198,34,0,0,18308
1954,Jharkhand-2-15-4,43.5,1.2,718.333,40,5,60,132,18,0,0,27240
1955,Jharkhand-2-15-5,73,2,1154.334,0,13,100,220,27,0,0,6843
1956,Jharkhand-2-15-6,46.5,1.2,704,0,7.5,60,132,18,0,0,31809
1957,Jharkhand-2-15-7,138,4,2222,0,24,200,440,45,0,0,114404
1958,Jharkhand-2-15-8,130.75,4,2488.333,0,22.5,200,440,50.5,0,0,43188
1959,Jharkhand-2-15-9,141.5,3.8,2338.667,0,24,190,418,65,0,0,67755
1960,Karnataka-2-4-7,8,0.5,256.333,61,1,9,64,0,0,0,67700
1962,Karnataka-2-7-10,374,4.33,2410.834,0,79,440,1275,0,14468,2200,1347
1963,Karnataka-2-7-5,170,2,1401.667,0,39,125,521,0,6810,0,1244
1964,Karnataka-2-7-6,288,3.16,2172.666,6,66,200,774,0,7360,1100,68665
1966,Karnataka-2-8-3,135,1.15,421.33,0,14,120,384,0,1650,0,584
1974,Karnataka-6-35-1,25.2,0.5,345,14,3,60,101.3,0,130,0,1677
1976,Karnataka-6-35-2,30,0.85,333.67,27,4,63,161.68,0,1160,0,2617
1978,Karnataka-6-35-7,224.7,3.99,1872.67,20,8,250,484.8,0,1071.74,0,65521.473
1979,Karnataka-6-35-8,51.1,0.73,329,32,3,50,147,0,580,0,1980
