DMU,State-Zone-Tehsil-Cultivator No.,Main Product (Qtls.),Crop Area (Ha.),Total Human Labour (Hrs.),Total Animal Labour (Hrs.),Hired Machine (Hrs.),Total Machine Hours (Hrs.),Total Fertiliser (Kg.),Manure (Qtl.),Insecticides (Rs.),Miscelaneous Cost (Rs.), Total Capital (Rs.)
2188,Kerala-2-8-1,9.5,0.28,159.583,0,3.65,27,22.45,3.39,0,0,1092
2189,Kerala-2-8-10,70,4.08,389.334,0,39,400,86.4,55,0,0,1284
2190,Kerala-2-8-3,16.2,0.42,185,0,5.65,42,51.37,0,0,0,1340
2191,Kerala-2-8-5,4.25,0.12,33,0,1.7,12,16.94,0,0,0,222
2192,Kerala-2-8-6,46.35,1.14,390.497,0,15.6,112,178.33,0,0,0,2416
2193,Kerala-2-8-7,17.5,0.42,172.583,0,5.85,41,56.48,0,0,0,771
2194,Kerala-2-8-8,61,1.54,568.835,0,22.4,152,244.1,0,0,0,3650
2195,Kerala-2-9-1,17,0.41,136.5,0,4,41,33.54,20.6,0,0,390
2196,Kerala-2-9-2,7,0.2,103.667,0,2,20,12.82,25.1,200,0,162
2197,Kerala-2-9-4,15,0.42,256,0,4,42,28.14,25.25,0,0,552
2198,Kerala-2-9-5,15,0.66,392.337,0,6,66,55.78,30.35,0,0,292
2199,Kerala-2-9-6,32,0.8,257.917,0,11.25,80,41.18,38.12,500,0,732.75
2200,Kerala-2-9-7,18,0.4,169.5,0,3.5,40,30.26,20.25,0,0,260
2201,Kerala-2-9-9,70,2.041,444.834,0,19.75,204,142.52,40.51,0,0,1104
2202,Kerala-3-24-1,9,0.32,184.334,0,0,20,26.6,0,0,0,3782
2203,Kerala-3-24-10,11.5,0.4,304.667,0,8,30,21,20,0,0,81019
2204,Kerala-3-24-2,12,0.4,215.667,0,9,25,34.5,0,110,0,10537
2205,Kerala-3-24-3,6,0.2,114.67,0,5,15,24.2,0,0,0,2870
2206,Kerala-3-24-4,16,0.81,411,0,14,40,43,15,175,0,8198
2207,Kerala-3-24-5,12,0.69,351,0,11,40,18,15,175,0,3512.25
2208,Kerala-3-24-6,20,0.81,491,0,14.5,40,29,20,175,0,9250
2209,Kerala-3-24-7,40,1.73,722.667,0,0,164,32,10,0,0,229356
2210,Kerala-3-24-8,30,1.22,560,0,0,132,68,0,0,0,219442
2211,Kerala-3-24-9,21,0.75,483,0,14,75,75,0,295,0,11945
2212,Kerala-3-25-1,51.25,1.3,578.667,0,20.5,120,300.75,0,1800,0,1028
2213,Kerala-3-25-10,469,10.52,3624.332,0,57.4,1116.5,1532.6,0,8080,0,459516
2214,Kerala-3-25-2,39,0.81,292.333,0,14.95,105,128,0,400,0,434
2215,Kerala-3-25-3,14.5,0.4,60.667,0,6,40,61.8,0,835,0,937
2216,Kerala-3-25-4,89.5,3.24,1239,0,40,245,413.1,0,3490,0,2188
2217,Kerala-3-25-6,191,5.66,2142.666,0,74.5,580,798,0,9320,0,158990
2218,Kerala-3-25-7,170,4.04,1813.167,0,61.25,380,794.8,60,3125,0,289716
2219,Kerala-3-25-8,199,4.05,1055.334,0,23.5,446,823,0,1450,0,698792
2220,Kerala-3-25-9,266,6.07,1593.667,0,125.25,610,1421.5,0,6475,0,231015
2221,Kerala-3-26-10,216.3,3.69,1314.333,0,57,410,577,0,3100,0,50940
2222,Kerala-3-26-2,29.3,0.57,318.666,0,8.5,48,62.5,0,170,0,1427
2223,Kerala-3-26-5,56.6,1.12,411.333,0,15,115,175.2,0,960,0,3804
2224,Kerala-3-26-6,73.78,1.39,757.5,0,21,170,233.2,0,515,0,148966
2225,Kerala-3-26-7,78,1.64,525.333,0,19,152,145.2,0,4715,0,52096
2226,Kerala-3-26-8,101.25,2.05,1151.003,0,24,177,292.4,20,2850,0,29339
2227,Kerala-3-27-1,19.4,0.42,155.833,0,6.5,48,60.8,0,0,0,30279
2228,Kerala-3-27-10,303.6,8.02,3254.832,0,94.5,682,1170.5,0,3350,0,279950
2229,Kerala-3-27-2,24.5,0.63,299,0,9,66,152.8,0,470,0,16530
2230,Kerala-3-27-3,46.5,0.94,392.667,0,12.5,85,159.5,0,270,0,255
2231,Kerala-3-27-4,75.3,2.58,1369.33,0,27.5,259,328.8,0,270,0,96878
2232,Kerala-3-27-5,43.15,1.06,736.001,0,12.75,108,128.72,0,377,0,100474
2233,Kerala-3-27-6,173,4.98,2157.668,0,87.25,470,684.5,0,1100,0,72896
2234,Kerala-3-27-7,148.4,3.52,1388.166,0,42,338,597,0,840,0,176140
2235,Kerala-3-27-8,165.6,4.04,1526.667,0,29,313,596.2,0,840,0,141084
2236,Kerala-3-27-9,189.08,4.42,1299.33,0,15,474,562.1,0,2320,0,471724
2237,Kerala-3-28-1,29.65,0.6,397.833,0,11.5,60,136.8,13.5,235,0,512
2238,Kerala-3-28-10,188.22,4.05,1762.666,0,56.75,400,914,0,2900,0,216483
2239,Kerala-3-28-2,25.2,0.81,294,0,11.05,80,162,0,280,0,663
2240,Kerala-3-28-3,33.6,1.21,464.667,0,13,120,235,0,450,0,935
2241,Kerala-3-28-4,36.1,0.81,466,0,19,80,139,30,280,0,824
2242,Kerala-3-28-5,39.4,0.81,311.333,0,17,80,139,30,300,0,752
2243,Kerala-3-28-6,115.01,2.02,1026.333,0,44.5,200,328,50,2250,0,28637
2244,Kerala-3-28-7,86.24,1.81,984,0,37.75,180,347.5,30,1610,0,1764
2245,Kerala-3-28-8,28.06,0.65,280.17,0,10.5,70,136,1.5,640,0,24945
2246,Kerala-3-28-9,55.8,1.33,939.5,0,25.5,140,292,0,1800,0,1732
2247,Kerala-3-29-1,3.9,0.2,169.333,0,4.5,20,7.2,0,0,0,260
2248,Kerala-3-29-2,5,0.25,223.333,0,9,20,18.6,6,99,0,3578
2249,Kerala-3-29-4,18,0.4,159.667,0,7.5,35,42.5,0,98,0,714
2250,Kerala-3-29-5,12.5,0.4,284.667,0,16,32,20,2,0,0,27131
2251,Kerala-3-29-6,16.25,0.4,213,0,11.75,34,38.8,0,0,0,53583
2252,Kerala-3-29-7,35.9,1.21,582.667,0,20.25,90,28,28,0,0,21646
2253,Kerala-3-29-9,15.5,0.24,268.333,0,11,25,25.2,0,0,0,70174
2254,Kerala-3-30-1,8.3,0.26,173.003,0,2,27,21.2,18.2,0,0,886
2255,Kerala-3-30-10,36,1.1,214,0,9.5,122,163,41,0,0,15115
2256,Kerala-3-30-2,13.3,0.38,186.334,0,3,40,33.8,20,0,0,830
2257,Kerala-3-30-3,10.4,0.38,183.333,0,3,40,29.8,0,170,40,1270
2258,Kerala-3-30-4,14.1,0.5,250.5,0,4,52,49.6,7,0,0,2480
2259,Kerala-3-30-5,10.6,0.32,211.666,0,2.5,35,35.5,20,0,0,835
2260,Kerala-3-30-6,17.85,0.57,261.334,0,4.5,62,60.68,24,0,0,1660
2261,Kerala-3-30-7,27,0.74,361.666,0,6,80,97.6,28,0,0,15331
2262,Kerala-3-30-8,9.8,0.6,203.667,0,6,100,85.2,1,0,0,1150
2263,Kerala-3-30-9,13.2,0.4,202,0,2.5,44,41.8,18,0,0,1613
2274,Madhya Pradesh-2-2-1,23,0.9,708,92,2,40,56,15,0,200,31750
2275,Madhya Pradesh-2-2-10,33,1.7,957.333,176,3.5,175,66.5,20,0,0,35730
2276,Madhya Pradesh-2-2-2,8,0.4,280,8,1,40,32.1,10,0,0,6545
2277,Madhya Pradesh-2-2-3,8.5,0.35,334,42,1,16,37.6,10,0,0,11610
2278,Madhya Pradesh-2-2-7,17,0.8,432.667,96,2,80,50.5,15,0,0,57085
2279,Madhya Pradesh-2-2-8,27,1.12,741.333,166,4.5,125,66.5,15,0,768,39996
2280,Madhya Pradesh-2-3-1,29,0.8,482.334,40,11,30,158.3,0,0,0,119546
2281,Madhya Pradesh-2-3-10,89,2.6,755.667,0,6.25,94.5,393.68,0,0,0,742732
2282,Madhya Pradesh-2-3-2,26,0.6,363.667,0,8.75,6,80.3,30,0,0,29234
2283,Madhya Pradesh-2-3-3,58,1.6,987.666,0,19.25,50,191.22,0,0,0,35398
2284,Madhya Pradesh-2-3-4,26,0.8,417.667,0,9.65,28,80.3,0,0,0,18804
2285,Madhya Pradesh-2-3-5,76,2.2,1215,0,30.75,57,300.5,0,0,0,52296
2286,Madhya Pradesh-2-3-6,81,2.6,1324.666,0,27,95,394.6,0,0,0,36190
2287,Madhya Pradesh-2-3-7,85,2.6,1367,0,0,102.5,390,0,0,0,530656
2288,Madhya Pradesh-2-3-8,76,2.4,869.333,0,26.5,80,328.82,0,0,0,66856
2289,Madhya Pradesh-2-3-9,92,2.7,1247.667,0,3.25,94,435.6,0,0,0,660364
2290,Madhya Pradesh-3-4-1,20,0.6,341,0,8.5,60,39,10,0,0,20649
2292,Madhya Pradesh-3-4-2,21,0.65,391,41,4,68,39,12,0,0,33409
2293,Madhya Pradesh-3-4-3,44,1.35,795.667,83,7,141,98.2,16,0,0,73164
2294,Madhya Pradesh-3-4-4,36,1.2,687.333,76,7,125,91.8,18,0,0,29638
2295,Madhya Pradesh-3-4-5,41,1.2,768,74,7,130,98.2,19,0,0,65378
2296,Madhya Pradesh-3-4-6,71,1.8,952.666,1,22,156,173.7,6,0,0,70239
2297,Madhya Pradesh-3-4-7,76,2.4,1403.667,50,24,255,236.4,37,0,0,64570
2298,Madhya Pradesh-3-4-8,104,3,1597.668,1,37,290,281.4,15,3200,80,57126
2299,Madhya Pradesh-3-4-9,68,2,1044.666,46,22,205,174.8,33,2400,0,80096
2300,Madhya Pradesh-3-5-1,11,0.6,339,13,6.75,65,37.6,10,0,0,2093
2301,Madhya Pradesh-3-5-10,19,1,178.667,16,8,110,46,0,1100,0,7859
2302,Madhya Pradesh-3-5-2,8,0.38,175,8,3,40,23,8,200,0,1090
2303,Madhya Pradesh-3-5-4,38,1.55,522.667,22,17.75,170,91.8,20,500,0,4164
2304,Madhya Pradesh-3-5-7,121,4.45,1521.999,24,55.5,300,336.8,70,2000,0,203158
2305,Madhya Pradesh-3-5-8,25,1.3,306.666,32,10.25,140,90.8,20,1600,0,36107
2306,Madhya Pradesh-3-5-9,78,3.6,1487.333,62,54.5,135,292,55,0,0,71590
2307,Madhya Pradesh-3-6-10,57,1.7,437,0,24.25,175,133,0,2400,476,39667
2308,Madhya Pradesh-3-6-2,25,0.9,244,0,13.25,90,66.5,10,1120,252,8428
2309,Madhya Pradesh-3-6-3,8,0.3,178,35,1.5,30,23,12,0,0,30484
2310,Madhya Pradesh-3-6-5,23,0.7,188.334,0,10,75,66.5,0,840,0,21458
2311,Madhya Pradesh-3-6-6,65,2,565,0,30,200,133,15,2800,560,94507
2312,Madhya Pradesh-3-6-7,51,1.6,412.333,0,22,150,101,10,2240,0,19137
2313,Madhya Pradesh-3-6-9,70,2,581.667,0,20,200,156,0,2800,560,132874
2324,Madhya Pradesh-3-8-1,11,0.4,247,0,5.35,50,78,7,365,0,9644
2325,Madhya Pradesh-3-8-10,189,7.25,2259.333,0,91.25,850,802,0,20805,0,128540
2326,Madhya Pradesh-3-8-2,16,0.6,206.666,0,8.25,70,90.8,0,855,0,15538
2327,Madhya Pradesh-3-8-3,46,1,577.333,0,13,13,54.32,15,1950,0,50990
2328,Madhya Pradesh-3-8-4,40,0.9,659.666,99,6.5,14,54.96,0,1950,0,119758
2329,Madhya Pradesh-3-8-5,69,2.64,870,55,26,298,330,0,3810,0,60332
2330,Madhya Pradesh-3-8-6,65,2.6,847.001,0,31.75,308,330,0,4352,0,33112
2331,Madhya Pradesh-3-8-7,184,4.04,2112,0,52.25,57,312.48,0,7770,0,134586
2332,Madhya Pradesh-3-8-8,137,4.76,1656.667,0,0,500.75,493.04,0,11801,0,574512
2333,Madhya Pradesh-3-8-9,154,4.89,1764.334,0,67.75,435,449.6,0,9585,1374.4,102276
2334,Madhya Pradesh-3-9-10,104,3.3,654,0,33.5,110,376,0,9000,800,102284
2335,Madhya Pradesh-3-9-5,36,1.1,456.667,0,13.25,35,133,20,3000,260,53208
2336,Madhya Pradesh-3-9-6,35,1,443.333,0,11.75,35,133,0,3000,0,46562
2337,Madhya Pradesh-3-9-7,65,1.9,818,0,0,88,243,40,3000,0,319640
2338,Madhya Pradesh-3-9-8,60,1.8,785.333,0,0,83,142,45,4800,440,371033
2339,Madhya Pradesh-3-9-9,70,2.14,421.667,0,24.5,75,243,50,6400,0,28531
2340,Madhya Pradesh-4-10-1,26,0.75,368,0,14,15,125.7,0,1755,500,27623
2341,Madhya Pradesh-4-10-4,70,1.75,818.333,0,28.6,35,233.9,0,3695,1100,31183
2342,Madhya Pradesh-4-10-7,40,1.05,554.333,0,21,20,176.2,0,3040,903,71630
2343,Madhya Pradesh-4-10-8,126,3,1478,0,58.5,60,553.4,0,9200,2300,80228
2344,Madhya Pradesh-4-10-9,108,3.05,1467.666,0,0,116.25,518.9,0,9200,2623,594210
2345,Madhya Pradesh-4-11-10,35,1.2,350,14,13.75,110,133,0,1680,456,31936
2346,Madhya Pradesh-4-11-2,11,0.4,144,20,3,40,35.8,10,560,0,45912
2347,Madhya Pradesh-4-11-3,15,0.4,166,22,4.5,40,35.8,12,560,152,54365
2348,Madhya Pradesh-4-11-5,13,0.4,178,22,4.25,40,39,12,560,0,59077
2349,Madhya Pradesh-4-11-6,21,0.7,252,39,7.25,70,53.7,15,1120,266,47731
2350,Madhya Pradesh-4-11-7,18,0.6,211,28,5.75,60,50.5,15,840,228,68589
2351,Madhya Pradesh-4-11-8,51,1.6,541,66,15.75,160,89.5,10,1960,0,26746
2352,Madhya Pradesh-4-11-9,54,1.6,546,0,26.5,150,133,12,1960,608,46429
2354,Madhya Pradesh-5-18-4,5.5,0.2,140.333,0,3,20,45.7,6,100,0,12055
2356,Madhya Pradesh-5-18-6,26,0.8,420,0,13.5,80,163,14,560,0,12583
2357,Madhya Pradesh-5-18-9,22,0.6,305.667,0,0,71,118,10,420,0,414701
2368,Madhya Pradesh-8-28-3,15,0.56,314.667,80,0,60,109,0,1265,0,27695
2369,Madhya Pradesh-8-28-9,16,0.65,245,10,0,78.5,78,0,1525,0,237640
2370,Madhya Pradesh-8-29-8,11.2,0.4,163.333,24,0,40,55,0,240,0,77146
2371,Maharashtra-1-1-1,16.2,0.52,1145,130,0,31,40.48,56.75,0,1200,37668
2372,Maharashtra-1-1-10,36.4,0.9,1955.667,193,2,35,73.14,82.5,0,2600,391488
2373,Maharashtra-1-1-2,8,0.15,344.667,46,0,7.5,10.12,16.75,0,400,26732
2374,Maharashtra-1-1-3,25.2,0.81,1905.833,220,0,37,58.42,82,0,2300,446014.686
2375,Maharashtra-1-1-4,26.8,0.7,1692.834,193,2,24,57.04,91,0,2500,317005.625
2376,Maharashtra-1-1-5,58,0.98,2468.334,272,10,28,92.92,141.75,0,3300,18840
2377,Maharashtra-1-1-6,18,0.52,1228.666,130,5,40,50.6,56.5,0,1200,11630
2378,Maharashtra-1-1-7,14.4,0.42,994.667,127,0,27,34.5,70.25,0,1000,173593.335
2379,Maharashtra-1-1-8,6,0.17,414.333,51,0,12,16.1,24,0,400,33713.707
2380,Maharashtra-1-1-9,29.3,0.64,1559,177,8,13,27.6,94.25,0,1700,352372
2381,Maharashtra-2-2-1,18,0.7,1355.766,150,0,33,4.6,80,0,3100,79946
2382,Maharashtra-2-2-10,36.5,1.55,1664,69,7.5,97.5,8.74,88,0,2424,267430
2383,Maharashtra-2-2-2,10,0.39,462.333,62,0,25,2.3,37,0,700,47026.758
2384,Maharashtra-2-2-3,8,0.4,584,64,0,30,2.3,37,0,600,30628
2385,Maharashtra-2-2-4,7,0.3,409,63,0,25,0,10,0,700,39036
2386,Maharashtra-2-2-5,12,0.45,679,2,0,32,0,49,0,900,479840
2387,Maharashtra-2-2-6,13.5,0.78,1101,129,0,50,4.6,84,0,1600,117699.79
2388,Maharashtra-2-2-7,45,1.53,1853.168,86,11,116,12.42,108,0,3000,466795
2389,Maharashtra-2-2-8,16.5,0.58,959.999,106,0,35,23,71,0,1200,162970
2390,Maharashtra-2-2-9,18,0.65,1009,4,5,43,3.22,84,0,1200,121228
2391,Maharashtra-3-3-1,16,0.4,270.334,0,9,20,87,0,0,0,12146
2414,Maharashtra-5-6-2,6,0.14,151.334,21,2,19,74.5,32,0,0,41509.016
2415,Maharashtra-5-6-4,48,1.13,1146.667,32.5,36,139,293,16,0,0,126216
2416,Maharashtra-5-6-5,23.6,0.58,669.334,4,30.5,70,165.9,1,0,0,13816
2417,Maharashtra-5-6-6,27.6,0.78,961.334,22,38,95,113.8,0,0,0,138108
2430,Maharashtra-9-60-1,15,0.65,830.633,54,4,54,46,0,1170,0,108602
2437,Maharashtra-9-60-7,126.5,4.02,6326.666,422,17,286,298,0,7380,0,319476
2450,Odisha-1-1-1,9.2,0.2,221.666,4,5.25,15,26.9,0,0,0,27640
2451,Odisha-1-1-10,51,1.44,1235.333,18,52.45,63,175.76,30,1000,0,132620.004
2462,Odisha-1-1-2,8.8,0.21,221,4,5.25,17,29,0,240,0,27567
2472,Odisha-1-1-3,45.2,0.96,932.666,28,28.25,28,109.02,27,1350,40,43464
2475,Odisha-1-13-2,31,0.9,825.333,0,13.75,70,85.58,20,0,392,40455
2476,Odisha-1-13-3,40,1.2,1261.667,262,3.5,105,100.36,27,0,0,130760
2494,Odisha-1-1-5,68,1.8,1810.668,16,66,8,240.2,64,3680,0,107654
2506,Odisha-1-16-1,30.1,0.8,904.333,241,0,72,60.3,24,0,0,254245.5
2507,Odisha-1-16-10,175.3,4.8,4663.666,452,50,401.2,396.4,24,0,0,588686
2508,Odisha-1-16-2,30.5,0.8,947.333,208,0,64,67.24,20,0,0,106898
2509,Odisha-1-16-3,44.5,1.2,1110.333,60,13.5,107,94.58,0,0,0,40596
2510,Odisha-1-16-4,38.3,1,1085.666,16,11.75,83,88.02,0,0,0,41997
2511,Odisha-1-16-5,60.8,1.6,1854.333,490,0,137,141.4,24,0,0,155547
2512,Odisha-1-16-6,60.3,1.6,1841.667,498,0,129,144.19,24,0,0,192591
2513,Odisha-1-16-7,76.9,2,1978.001,4,25.75,166,202.2,0,0,0,55444
2514,Odisha-1-16-8,76.9,2,1888.666,0,27.6,156,167.28,0,0,0,50640
2515,Odisha-1-16-9,135.8,3.6,3409.667,0,47.75,294,310.3,0,0,0,68132
2517,Odisha-1-17-1,10.2,0.4,401.667,120,0,35,23.2,10,0,0,31072
2518,Odisha-1-17-10,87.96,3.2,3123.667,670,9,270,248.44,45,0,0,447896
2519,Odisha-1-17-2,11.25,0.4,423.333,109,0,30,22.6,9,0,0,32478
2520,Odisha-1-17-3,28.3,1.05,1135,287,0,80,100.32,21,0,0,102052
2521,Odisha-1-17-4,23,0.8,821.666,222,0,70,80.62,16,0,0,90361
2522,Odisha-1-17-5,63.7,2.35,2253.334,500,4.5,197,203.572,24,0,0,270495
2523,Odisha-1-17-6,66.7,2.4,2337.334,509,5,202,192,24,0,0,227523
2524,Odisha-1-17-7,76.05,2.8,2760.003,658,4.5,235,223.06,32,0,0,137176
2525,Odisha-1-17-8,82.85,3,2960.666,718,6,245,238.252,37,0,0,350052
2526,Odisha-1-17-9,76.15,2.8,2600.667,606,6.75,225,229.74,42,0,0,133696
2527,Odisha-1-1-8,47.7,1.07,1184,28,28.88,20,135.6,25,900,60,118070
2528,Odisha-1-1-9,88,2.3,2792.667,376,58,133,275.8,30,610,0,561624
2549,Odisha-1-4-1,35.5,0.9,852.667,0,30.8,81.25,72.54,10,152,0,460902
2550,Odisha-1-4-10,142.6,3.8,3561.668,0,139.45,298,330.492,0,152,500,196965
2551,Odisha-1-4-2,23.9,0.6,546.667,0,21.75,45,49,0,152,50,9912
2552,Odisha-1-4-3,39.5,1,919.667,0,36,75,93.86,0,152,50,37170
2553,Odisha-1-4-4,63.1,1.6,1570.666,0,58.3,121,124.82,9,152,0,30801
2554,Odisha-1-4-5,71.7,2,2123.332,211,61,159,132.58,30,152,50,162993.328
2555,Odisha-1-4-6,75,2,1931.667,0,51,194.3,169.74,8,152,50,575256
2556,Odisha-1-4-7,144.5,3.8,3605.667,0,140,296,327.7,0,0,0,127704
2557,Odisha-1-4-8,137,3.6,3430.667,0,90,343.5,323.552,0,0,0,485610
2558,Odisha-1-4-9,143.5,3.8,3557.333,0,139.4,297,313.56,0,0,0,181252
2559,Odisha-1-5-1,27.6,0.7,613.667,0,9,51,46.18,0,0,360,5484
2561,Odisha-1-5-2,39.4,0.9,972.666,0,19.6,70,90.34,21,0,227,40107
2564,Odisha-1-5-5,92.15,2.2,2117.333,0,43.25,146,186.26,39,0,1125,140430
2568,Odisha-1-5-9,191.9,4.6,3098.334,0,59.75,271,406.38,27,0,473,219186
2569,Odisha-1-6-1,29.85,0.8,752.332,0,29.3,64,73.96,19,0,0,22992
2570,Odisha-1-6-10,87,2.4,2358.668,0,77,186,227.56,41,0,0,146934
2571,Odisha-1-6-2,29.7,0.8,764.666,0,27,66,77.78,3,0,0,93852
2572,Odisha-1-6-3,30.05,0.8,764.667,0,25.15,67,75.14,0,0,0,13605
2573,Odisha-1-6-4,29.25,0.8,854.333,0,30.85,65,77.6,17,0,0,59600
2574,Odisha-1-6-5,36.7,1,934.667,0,31.5,83,92.66,14,0,0,3560
2575,Odisha-1-6-6,36.7,1,1025.667,0,32.75,83,98.66,20,0,0,125300
2576,Odisha-1-6-7,57.5,1.6,1454.666,0,56.4,130,150.9,23,0,0,154816
2577,Odisha-1-6-8,64.5,1.76,1682,0,52.5,138,160.72,23,0,0,152082
2578,Odisha-1-6-9,86.8,2.4,2154.333,0,80,187,216,0,0,0,99060
2589,Odisha-1-8-1,20.97,0.6,538.334,2,8,57,50.92,12,404,0,8196
2590,Odisha-1-8-10,140.15,3.8,2511.668,0,63.25,312,396.78,52,1346,0,320670
2591,Odisha-1-8-2,26.54,0.8,583.333,2,10.5,78,71.6,15,562,0,16251
2592,Odisha-1-8-3,48.52,1.2,1075,0,30.15,95,109.16,21,635,0,13392
2593,Odisha-1-8-4,43.7,1.2,988.001,0,27,100,112.58,17,720,0,105682
2594,Odisha-1-8-5,81.23,2.2,1968.334,194,40.5,185,186.44,43,1278,0,315969.344
2595,Odisha-1-8-6,91.13,2.4,2292.333,0,70,200,252.78,47,1032,0,15645
2596,Odisha-1-8-7,114.7,3,2569.667,0,40,287.5,290.6,62,1840,0,947035
2597,Odisha-1-8-8,134.75,3.8,3407.67,0,125.75,350,321.7,43,1134,0,28104
2598,Odisha-1-8-9,118.57,3.04,2767.001,0,99.25,255,344.54,56,802,0,245090
2599,Odisha-1-9-1,25.9,0.6,629.333,0,17.3,46,54.12,13,240,0,3748
2600,Odisha-1-9-10,49.1,1.2,1181.667,0,32.75,90,130,0,560,0,108270
2601,Odisha-1-9-2,34.35,0.8,942.334,0,25.35,60,70,16,320,0,148176
2602,Odisha-1-9-3,48,1.2,1347.667,4,34.55,90,107.14,16,560,0,187940
2603,Odisha-1-9-4,60,1.4,1487.667,0,38.1,110,143.78,0,560,0,135276
2604,Odisha-1-9-5,50.75,1.2,1398,0,32.25,91.75,115,0,320,0,8612
2605,Odisha-1-9-6,40.25,1,1047.333,0,27.5,75,102.64,0,240,0,70710
2606,Odisha-1-9-7,49,1.2,1250.666,0,34.9,95,112.1,12,400,0,13089
2607,Odisha-1-9-8,81.2,2,1993.335,0,58.5,150,192.52,28,800,0,8524
2608,Odisha-1-9-9,63.7,1.6,1648.333,0,45.5,120,145.472,17,560,0,13468
2609,Odisha-2-18-1,28.7,0.8,679.667,0,25.5,60,54.9,14,0,0,7662
2610,Odisha-2-18-10,170,5.2,4518.667,142,60.5,390,469.9,15,0,0,211422
2611,Odisha-2-18-2,29,0.8,874.333,119,21,60,62.2,12,0,0,52158
2612,Odisha-2-18-3,41.5,1.2,1265.667,178,181.5,93,85.22,26,410,0,177207
2613,Odisha-2-18-4,52.1,1.52,1271.334,0,44.3,122,115.7,0,300,0,108624
2614,Odisha-2-18-5,50.7,1.4,1441.667,246,35,105,115.72,23,0,0,179436
2615,Odisha-2-18-6,45.2,1.34,1096.666,0,36.55,111,104.86,0,0,0,63048
2616,Odisha-2-18-7,98.3,2.8,2237.667,0,85.3,210,213.18,0,0,0,67736
2617,Odisha-2-18-8,164.9,5.34,4246.667,0,59.75,513,394.72,0,0,0,51144
2618,Odisha-2-18-9,82.2,2.6,2326,0,81.25,195,228.6,10,0,0,162108
2619,Odisha-2-19-1,16,0.4,446.667,71,0.45,30,33.78,15,0,0,46879.91
2621,Odisha-2-19-2,30.5,0.8,751.667,0,21.2,62,69.44,0,150,40,30362
2622,Odisha-2-19-3,46.2,1.2,1331.334,211,15.3,90,101.12,20,325,0,64718
2624,Odisha-2-19-5,74.2,2,2257.666,332,35,152,168.74,37,450,0,126733.336
2625,Odisha-2-19-6,101.8,2.8,3077.001,483,49.5,210,251.66,45,650,0,191533.635
2627,Odisha-2-19-8,155.2,4.3,4064,0,133.95,340.75,416.78,0,1820,0,84000
2629,Odisha-2-20-1,16.7,0.4,401.334,0,12,32,35.92,0,0,0,23335
2630,Odisha-2-20-10,128.95,3.45,3127.667,858,24,201,245.3,40,350,0,672228
2631,Odisha-2-20-2,17,0.4,445,66,8,30,36.73,8,0,0,47878
2632,Odisha-2-20-3,38.2,1.2,1198.334,297,0,100,66.9,20,0,0,146930.406
2633,Odisha-2-20-4,43.3,1,1071.667,239,24,36,96.96,25,0,0,166599
2634,Odisha-2-20-5,36.6,1.2,1079.333,269,9,100,75.5,10,0,0,102692
2635,Odisha-2-20-6,51.1,1.2,1142,0,24,50,124.2,10,0,0,9403
2636,Odisha-2-20-7,88.2,2.38,2162,634,0,137,148.08,13,0,0,263892
2637,Odisha-2-20-8,78.7,2.2,1979,666,1,153,122.2,26,0,0,345004
2638,Odisha-2-20-9,120.5,3.1,2998.667,714,36,175,260.88,35,0,0,593730
2639,Odisha-2-21-1,14.2,0.4,365,4,5.25,30,36.4,8,0,0,12013
2640,Odisha-2-21-10,91.1,3,2613.334,88,31.25,252,254.4,34,0,616,189445
2641,Odisha-2-21-2,22.9,0.6,643.333,195,0,34,59.26,20,0,0,92746
2642,Odisha-2-21-3,34.9,1.2,1195.999,322,0,101,75.4,26,0,0,157461
2643,Odisha-2-21-4,50.8,1.4,1534.333,390,0,90,133.8,32,0,0,225032
2644,Odisha-2-21-6,41.9,1.6,1503.667,454,0,140,92.04,34,0,0,176156
2645,Odisha-2-21-7,88.5,2.8,2886.999,842,0,185,201.5,62,0,0,381575
2646,Odisha-2-21-8,88.8,2.6,2415.333,88,26,158.25,216,40,0,0,143224
2647,Odisha-2-21-9,95,2.8,2433,80,33,180,230.12,54,0,0,77650
2658,Odisha-2-23-1,7.5,0.39,320.333,117,0,38,16,15,0,0,25871.023
2659,Odisha-2-23-10,147,4.5,4888.666,918,13,380,290.6,69,0,0,450846
2660,Odisha-2-23-2,11,0.72,383.333,210,0,60,19.2,20,0,0,69064
2661,Odisha-2-23-3,25,1.33,736.333,225,0.75,117,30.8,23,0,0,54444
2662,Odisha-2-23-4,24,1.03,839.333,290,0,91,44.8,31,0,0,82161
2663,Odisha-2-23-5,47,2.2,1709,325,10,200,135.7,52,0,0,74815.275
2664,Odisha-2-23-6,54,1.96,1779.002,366,5.25,162,141.5,38,0,0,93784
2665,Odisha-2-23-7,47,1.93,1770.667,381,2.75,156,136.92,46,0,0,237416
2666,Odisha-2-23-8,51,1.6,1489,127,11.25,138,113.7,22,0,0,81618
2667,Odisha-2-23-9,91,2.86,3222,605,8.5,236,224.22,74,0,0,460395
2668,Odisha-2-24-1,26.37,0.77,659,10,20,64,70.56,0,0,0,5708
2669,Odisha-2-24-10,181.07,6,5397.666,469,132.5,475,476.06,40,0,0,550912
2670,Odisha-2-24-2,17.92,0.6,659.666,178,0,49,52.5,12,0,0,33667.594
