Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,1155.199951,1160.800049,1146.500000,1160.400024,1160.400024,52
2017-01-04,1156.300049,1165.000000,1156.300049,1163.800049,1163.800049,36
2017-01-05,1172.000000,1183.300049,1171.500000,1179.699951,1179.699951,500
2017-01-06,1176.500000,1176.500000,1171.900024,1171.900024,1171.900024,16
2017-01-08,null,null,null,null,null,null
2017-01-09,1173.900024,1183.599976,1173.000000,1183.500000,1183.500000,62
2017-01-10,1184.300049,1188.900024,1182.300049,1184.199951,1184.199951,8
2017-01-11,1187.500000,1197.000000,1176.500000,1195.599976,1195.599976,20
2017-01-12,1192.699951,1204.300049,1192.300049,1198.900024,1198.900024,110
2017-01-13,1195.699951,1196.000000,1187.699951,1195.300049,1195.300049,65
2017-01-15,null,null,null,null,null,null
2017-01-17,1205.500000,1214.599976,1200.800049,1212.000000,1212.000000,79
2017-01-18,1213.599976,1214.699951,1203.099976,1211.300049,1211.300049,114
2017-01-19,1200.500000,1204.000000,1195.800049,1200.900024,1200.900024,26
2017-01-20,1202.800049,1212.099976,1202.800049,1204.300049,1204.300049,38
2017-01-22,null,null,null,null,null,null
2017-01-23,1212.000000,1215.000000,1210.000000,1215.000000,1215.000000,16
2017-01-24,1219.000000,1219.000000,1207.699951,1210.300049,1210.300049,24
2017-01-25,1202.000000,1202.800049,1194.900024,1197.300049,1197.300049,403
2017-01-26,1199.699951,1199.699951,1185.599976,1189.500000,1189.500000,19
2017-01-27,1187.900024,1188.300049,1187.900024,1188.099976,1188.099976,234352
2017-01-29,null,null,null,null,null,null
2017-01-30,1191.699951,1198.500000,1187.099976,1193.199951,1193.199951,50503
2017-01-31,1194.900024,1214.699951,1193.500000,1208.599976,1208.599976,3212
2017-02-01,1211.900024,1211.900024,1197.900024,1205.599976,1205.599976,1145
2017-02-02,1209.699951,1224.199951,1208.900024,1216.699951,1216.699951,1512
2017-02-03,1214.900024,1220.599976,1206.199951,1218.500000,1218.500000,865
2017-02-05,null,null,null,null,null,null
2017-02-06,1221.900024,1235.400024,1218.500000,1230.000000,1230.000000,908
2017-02-07,1234.199951,1236.199951,1228.500000,1234.199951,1234.199951,1177
2017-02-08,1232.099976,1243.900024,1231.000000,1237.599976,1237.599976,288
2017-02-09,1239.400024,1243.500000,1226.900024,1235.099976,1235.099976,885
2017-02-10,1227.599976,1234.400024,1221.500000,1234.400024,1234.400024,391
2017-02-12,null,null,null,null,null,null
2017-02-13,1230.500000,1231.099976,1219.000000,1224.400024,1224.400024,398
2017-02-14,1225.900024,1233.500000,1222.099976,1223.900024,1223.900024,159
2017-02-15,1225.500000,1231.699951,1217.300049,1231.699951,1231.699951,175
2017-02-16,1234.500000,1240.699951,1233.199951,1240.000000,1240.000000,87
2017-02-17,1240.699951,1241.199951,1234.800049,1237.599976,1237.599976,301
2017-02-19,null,null,null,null,null,null
2017-02-21,1237.300049,1237.500000,1228.099976,1237.500000,1237.500000,119
2017-02-22,1236.099976,1238.599976,1231.800049,1232.000000,1232.000000,36
2017-02-23,1236.099976,1250.300049,1236.099976,1250.199951,1250.199951,112
2017-02-24,1250.000000,1258.800049,1250.000000,1256.900024,1256.900024,1264
2017-02-26,null,null,null,null,null,null
2017-02-27,1254.699951,1263.099976,1250.400024,1257.400024,1257.400024,544
2017-02-28,1253.599976,1257.300049,1247.199951,1252.599976,1252.599976,721
2017-03-01,1247.800049,1248.900024,1236.900024,1248.900024,1248.900024,138
2017-03-02,1247.199951,1247.599976,1230.699951,1231.900024,1231.900024,79
2017-03-03,1231.699951,1235.199951,1222.900024,1225.500000,1225.500000,121
2017-03-05,null,null,null,null,null,null
2017-03-06,1235.199951,1235.199951,1224.500000,1224.500000,1224.500000,29
2017-03-07,1224.300049,1225.400024,1213.699951,1215.099976,1215.099976,53
2017-03-08,1212.199951,1212.199951,1206.699951,1208.500000,1208.500000,24
2017-03-09,1204.500000,1205.599976,1202.300049,1202.400024,1202.400024,37
2017-03-10,1196.199951,1203.300049,1196.199951,1200.699951,1200.699951,3
2017-03-12,null,null,null,null,null,null
2017-03-13,1206.199951,1210.000000,1202.300049,1202.400024,1202.400024,35
2017-03-14,1203.099976,1205.900024,1196.800049,1201.900024,1201.900024,22
2017-03-15,1198.199951,1221.199951,1197.699951,1200.099976,1200.099976,36
2017-03-16,1222.199951,1231.400024,1222.199951,1226.500000,1226.500000,47
2017-03-17,1227.099976,1230.900024,1227.099976,1229.800049,1229.800049,26
2017-03-19,null,null,null,null,null,null
2017-03-20,1229.300049,1234.400024,1229.300049,1233.599976,1233.599976,23
2017-03-21,1226.400024,1246.099976,1226.400024,1246.099976,1246.099976,11
2017-03-22,1247.900024,1249.500000,1247.699951,1249.300049,1249.300049,3
2017-03-23,1246.400024,1247.500000,1244.800049,1246.900024,1246.900024,16
2017-03-24,1248.000000,1248.300049,1247.599976,1248.199951,1248.199951,3
2017-03-26,null,null,null,null,null,null
2017-03-27,1255.800049,1257.699951,1253.800049,1255.400024,1255.400024,72
2017-03-28,1255.900024,1255.900024,1255.300049,1255.300049,1255.300049,19
2017-03-29,1252.199951,1253.400024,1252.099976,1253.400024,1253.400024,190678
2017-03-30,1253.099976,1253.599976,1241.099976,1245.000000,1245.000000,51328
2017-03-31,1242.099976,1248.800049,1238.699951,1247.300049,1247.300049,8223
2017-04-02,null,null,null,null,null,null
2017-04-03,1247.500000,1252.400024,1243.599976,1250.800049,1250.800049,1160
